approach,query_no,latency,average_relative_error,bin_completeness,total_bins,query,sample_percentage
US,0,0.010588116943836212,100,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE distance >= 692.00 and arr_delay = -22.00 and origin = 'ABE';
",100
US,1,0.010671548545360565,100,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE distance >= 158.00 and arr_delay = 1.00 and origin = 'ABI';
",100
US,2,0.010346822440624237,36.102236421725244,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE distance >= 277.00 and arr_delay = -13.00 and origin = 'ABQ';
",100
US,3,0.01056833565235138,100,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE distance >= 257.00 and arr_delay = -27.00 and origin = 'ABR';
",100
US,4,0.011163115501403809,100,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE distance >= 91.00 and arr_delay = -23.00 and origin = 'ACK';
",100
US,5,0.010707996785640717,100,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE distance >= 159.00 and arr_delay = -24.00 and origin = 'ACT';
",100
US,6,0.010524392127990723,100,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE distance >= 56.00 and arr_delay = -34.00 and origin = 'ACV';
",100
US,7,0.010471239686012268,426.3157894736843,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE distance >= 542.00 and arr_delay = -7.00 and origin = 'ACY';
",100
US,8,0.010661780834197998,100,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE distance >= 914.00 and arr_delay = -85.00 and origin = 'ADK';
",100
US,9,0.010740101337432861,100,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE distance >= 253.00 and arr_delay = -18.00 and origin = 'ADQ';
",100
US,10,0.010712645947933197,100,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE distance >= 426.00 and arr_delay = 70.00 and origin = 'AEX';
",100
US,11,0.010844111442565918,63.934426229508205,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE distance >= 140.00 and arr_delay = -8.00 and origin = 'AGS';
",100
US,12,0.010825231671333313,100,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE distance >= 71.00 and arr_delay = -25.00 and origin = 'AKN';
",100
US,13,0.011086300015449524,104.08163265306123,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE distance >= 251.00 and arr_delay = -9.00 and origin = 'ALB';
",100
US,14,0.012036271393299103,100,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE distance >= 234.00 and arr_delay = -37.00 and origin = 'ALO';
",100
US,15,0.010843731462955475,100,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE distance >= 323.00 and arr_delay = -33.00 and origin = 'AMA';
",100
US,16,0.010421350598335266,100,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE distance <= 1192.00 and arr_delay = -42.00 and origin = 'ANC';
",100
US,17,0.010758206248283386,100,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE distance >= 127.00 and arr_delay = 8.00 and origin = 'ANI';
",100
