approach,query_no,latency,average_relative_error,bin_completeness,total_bins,query,sample_percentage
US,0,0.011542163789272308,85.0,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE dest = 'TYR' and arr_delay >= 41.00 and arr_delay < 712.00;
",100
US,1,0.010796748101711273,1.8867924528301887,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE air_time > 190.00 and air_time < 546.00 and arr_delay >= 543.00 and arr_delay < 918.00;
",100
US,2,0.008402802050113678,1.872,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE origin = 'FLL' and dep_delay > 117.00 and dep_delay <= 428.00;
",100
US,3,0.014268852770328522,4.0,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE air_time >= 17.00 and air_time < 326.00 and taxi_in >= 155.00 and taxi_in < 937.00 and dep_delay >= 237.00 and dep_delay < 790.00;
",100
US,4,0.010674864053726196,1.545,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE origin = 'MIA' and year_date = 2004 and air_time >= 135.00 and air_time <= 470.00;
",100
US,5,0.009342469274997711,1.0745409933158474,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE dep_delay >= 165.00 and dep_delay < 195.00 and taxi_in > 3.00 and taxi_in < 881.00;
",100
US,6,0.008251212537288666,5.0,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE year_date = 2005 and origin = 'ACT' and dep_delay >= 22.00 and dep_delay <= 888.00;
",100
US,7,0.013411305844783783,1.0,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE origin = 'APF' and arr_delay > 136.00 and arr_delay <= 710.00;
",100
US,8,0.01582292467355728,2.0833333333333335,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE dest = 'ILM' and distance > 406.00 and distance <= 631.00;
",100
US,9,0.0116647407412529,83.0,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE taxi_in > 175.00 and taxi_in < 882.00;
",100
US,10,0.011997416615486145,9.0,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE taxi_out > 192.00 and taxi_out < 299.00 and arr_delay > 141.00 and arr_delay < 604.00 and dep_delay > 185.00 and dep_delay <= 860.00;
",100
US,11,0.010769285261631012,14.0,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE distance > 300.00 and distance <= 380.00 and taxi_out > 190.00 and taxi_out < 245.00;
",100
US,12,0.013479605317115784,1.0641460079662326,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE year_date = 2002 and distance >= 1607.00 and distance < 2504.00;
",100
US,13,0.014537490904331207,1.0301787592008411,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE year_date = 2007 and air_time > 108.00 and air_time <= 474.00;
",100
US,14,0.013057120144367218,1.0160923076923076,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE year_date = 2014 and arr_delay > 24.00 and arr_delay <= 780.00;
",100
US,15,0.014715835452079773,1.015027700831025,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE dep_delay > 22.00 and dep_delay <= 242.00 and distance >= 775.00 and distance < 979.00 and air_time > -197.00 and air_time < 535.00;
",100
