approach,query_no,latency,average_relative_error,bin_completeness,total_bins,query,sample_percentage
US,0,0.009841881692409515,21.951219512195124,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE origin = 'DCA' and arr_delay > 96.00 and arr_delay <= 329.00;
",100
US,1,0.009824909269809723,100.0,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE origin = 'ADK' and arr_delay >= 145.00 and arr_delay <= 298.00;
",100
US,2,0.008037753403186798,100.0,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE origin = 'BIS' and arr_delay >= 647.00 and arr_delay <= 747.00;
",100
US,3,0.008764438331127167,1011.1111111111111,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE origin = 'ROA' and arr_delay > 227.00 and arr_delay < 467.00;
",100
US,4,0.008080586791038513,566.6666666666667,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE origin = 'PDX' and arr_delay > 381.00 and arr_delay < 665.00;
",100
US,5,0.010965809226036072,8.088235294117647,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE origin = 'DRO' and arr_delay > -16.00 and arr_delay <= 203.00;
",100
US,6,0.008185550570487976,65.51724137931035,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE origin = 'JFK' and arr_delay > 251.00 and arr_delay < 681.00;
",100
US,7,0.007528133690357208,100.0,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE origin = 'KOA' and arr_delay >= 174.00 and arr_delay <= 711.00;
",100
US,8,0.010303907096385956,28.57142857142857,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE origin = 'DRO' and arr_delay >= -24.00 and arr_delay < 25.00;
",100
US,9,0.010313443839550018,3.6882284152574663,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE origin = 'BWI' and arr_delay >= -64.00 and arr_delay <= 337.00;
",100
US,10,0.007504679262638092,100.0,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE origin = 'EWN' and arr_delay >= 113.00 and arr_delay < 785.00;
",100
US,11,0.010145217180252075,10.31390134529148,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE origin = 'LAW' and arr_delay >= -22.00 and arr_delay < 655.00;
",100
US,12,0.007413677871227264,669.2307692307693,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE origin = 'DFW' and arr_delay >= 689.00 and arr_delay < 842.00;
",100
US,13,0.010584421455860138,41.7910447761194,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE origin = 'EGE' and arr_delay >= -48.00 and arr_delay <= 355.00;
",100
US,14,0.011087380349636078,66.66666666666666,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE origin = 'BGM' and arr_delay >= -25.00 and arr_delay <= 4.00;
",100
US,15,0.011415563523769379,100.0,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE origin = 'DIK' and arr_delay >= -25.00 and arr_delay <= 1130.00;
",100
US,16,0.008268170058727264,92.3076923076923,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE origin = 'MBS' and arr_delay >= 95.00 and arr_delay <= 229.00;
",100
US,17,0.007994130253791809,100.0,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE origin = 'CID' and arr_delay >= 305.00 and arr_delay < 312.00;
",100
US,18,0.008395485579967499,100.0,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE origin = 'RAP' and arr_delay >= 314.00 and arr_delay < 1312.00;
",100
US,19,0.008107572793960571,100.0,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE origin = 'SBP' and arr_delay > 299.00 and arr_delay < 489.00;
",100
US,20,0.009855158627033234,21.057661675692895,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE origin = 'AMA' and arr_delay > -5.00 and arr_delay <= 899.00;
",100
US,21,0.011105835437774658,0.4811774695726012,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE origin = 'MCO' and arr_delay >= -88.00 and arr_delay < 351.00;
",100
US,22,0.00806773453950882,354.54545454545456,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE origin = 'FSD' and arr_delay >= 203.00 and arr_delay < 511.00;
",100
US,23,0.007648169994354248,100.0,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE origin = 'MGM' and arr_delay >= 47.00 and arr_delay <= 58.00;
",100
US,24,0.008623071014881134,100.0,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE origin = 'LSE' and arr_delay > 514.00 and arr_delay < 1263.00;
",100
US,25,0.007414467632770538,100.0,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE origin = 'GUC' and arr_delay >= 184.00 and arr_delay <= 615.00;
",100
US,26,0.007506765425205231,3.896103896103896,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE origin = 'MDW' and arr_delay >= 186.00 and arr_delay < 468.00;
",100
US,27,0.007651716470718384,100.0,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE origin = 'DBQ' and arr_delay >= 588.00 and arr_delay <= 1067.00;
",100
US,28,0.007424831390380859,100.0,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE origin = 'EGE' and arr_delay >= 391.00 and arr_delay <= 545.00;
",100
US,29,0.010241210460662842,0.025131942699170642,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE origin = 'JAX' and arr_delay >= -20.00 and arr_delay < 685.00;
",100
US,30,0.007652252912521362,100.0,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE origin = 'SUN' and arr_delay >= 298.00 and arr_delay <= 510.00;
",100
US,31,0.010292842984199524,0.8489544755284598,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE origin = 'BUF' and arr_delay >= -106.00 and arr_delay < 984.00;
",100
US,32,0.007634080946445465,100.0,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE origin = 'ITO' and arr_delay >= 154.00 and arr_delay <= 654.00;
",100
US,33,0.008662529289722443,100.0,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE origin = 'SJU' and arr_delay > 402.00 and arr_delay <= 779.00;
",100
US,34,0.009511783719062805,31.23359580052493,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE origin = 'GNV' and arr_delay > -4.00 and arr_delay <= 191.00;
",100
US,35,0.007938183844089508,3.0927835051546393,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE origin = 'MSY' and arr_delay > 38.00 and arr_delay < 100.00;
",100
US,36,0.008522465825080872,100.0,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE origin = 'MLU' and arr_delay >= 148.00 and arr_delay < 466.00;
",100
US,37,0.008066840469837189,48.698884758364315,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE origin = 'LAX' and arr_delay >= 250.00 and arr_delay < 1260.00;
",100
US,38,0.008106805384159088,100.0,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE origin = 'OMA' and arr_delay > 261.00 and arr_delay <= 434.00;
",100
US,39,0.007747679948806763,100.0,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE origin = 'LBB' and arr_delay >= 368.00 and arr_delay < 800.00;
",100
US,40,0.007627569139003754,100.0,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE origin = 'JAC' and arr_delay > 476.00 and arr_delay < 819.00;
",100
US,41,0.008603692054748535,100.0,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE origin = 'CSG' and arr_delay > 153.00 and arr_delay < 693.00;
",100
US,42,0.011202536523342133,51.21951219512195,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE origin = 'BRW' and arr_delay >= -47.00 and arr_delay <= 181.00;
",100
US,43,0.007689312100410461,100.0,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE origin = 'BRD' and arr_delay > 167.00 and arr_delay <= 646.00;
",100
US,44,0.0074186548590660095,100.0,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE origin = 'SUX' and arr_delay >= 258.00 and arr_delay <= 472.00;
",100
US,45,0.007796786725521088,35.69131832797427,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE origin = 'JFK' and arr_delay > 235.00 and arr_delay <= 376.00;
",100
US,46,0.007531508803367615,100.0,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE origin = 'SRQ' and arr_delay >= 388.00 and arr_delay <= 661.00;
",100
US,47,0.007691144943237305,21.298573536645353,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE origin = 'CLE' and arr_delay >= 40.00 and arr_delay < 1273.00;
",100
US,48,0.007675796747207642,100.0,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE origin = 'PSC' and arr_delay > 337.00 and arr_delay < 649.00;
",100
US,49,0.008144035935401917,100.0,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE origin = 'EYW' and arr_delay > 398.00 and arr_delay < 615.00;
",100
US,50,0.0111418217420578,20.634920634920633,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE origin = 'GRI' and arr_delay > -69.00 and arr_delay < 595.00;
",100
US,51,0.00772799551486969,100.0,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE origin = 'ECP' and arr_delay >= 354.00 and arr_delay <= 578.00;
",100
US,52,0.008106648921966553,50.81967213114754,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE origin = 'GSP' and arr_delay >= 39.00 and arr_delay < 200.00;
",100
US,53,0.010390520095825195,2.0418459296214806,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE origin = 'DFW' and arr_delay >= -69.00 and arr_delay < 81.00;
",100
US,54,0.008333146572113037,100.0,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE origin = 'GUC' and arr_delay >= 1247.00 and arr_delay <= 1554.00;
",100
US,55,0.008733481168746948,32.88590604026846,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE origin = 'LRD' and arr_delay >= 22.00 and arr_delay < 292.00;
",100
US,56,0.010386750102043152,3.7037037037037033,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE origin = 'CMI' and arr_delay > -63.00 and arr_delay < 174.00;
",100
US,57,0.007662959396839142,100.0,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE origin = 'LIT' and arr_delay > 229.00 and arr_delay < 411.00;
",100
US,58,0.012074463069438934,7.2631595287251045,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE origin = 'SAN' and arr_delay > -62.00 and arr_delay <= 316.00;
",100
US,59,0.008248008787631989,100.0,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE origin = 'RIC' and arr_delay > 668.00 and arr_delay < 883.00;
",100
US,60,0.008521601557731628,10.70110701107011,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE origin = 'HPN' and arr_delay >= 71.00 and arr_delay <= 147.00;
",100
