approach,query_no,latency,average_relative_error,bin_completeness,total_bins,query,sample_percentage
ApproachType.MODEL_BASED,0,0.03861667215824127,6.687461042448002e-14,100,1,SELECT COUNT(*) FROM flights WHERE dest = 'TYR' and arr_delay >= 41.00 and arr_delay < 712.00;,100
ApproachType.MODEL_BASED,1,0.02264406532049179,0.16593064193600338,100,1,SELECT COUNT(*) FROM flights WHERE air_time > 190.00 and air_time < 546.00 and arr_delay >= 543.00 and arr_delay < 918.00;,100
ApproachType.MODEL_BASED,2,0.03966584801673889,1.0931426704001542e-13,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'FLL' and dep_delay > 117.00 and dep_delay <= 428.00;,100
ApproachType.MODEL_BASED,3,0.05648702383041382,0.539254495254049,100,1,SELECT COUNT(*) FROM flights WHERE air_time >= 17.00 and air_time < 326.00 and taxi_in >= 155.00 and taxi_in < 937.00 and dep_delay >= 237.00 and dep_delay < 790.00;,100
ApproachType.MODEL_BASED,4,0.03776045888662338,40.634545115785784,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'MIA' and year_date = 2004 and air_time >= 135.00 and air_time <= 470.00;,100
ApproachType.MODEL_BASED,5,0.054046690464019775,0.24551538726607708,100,1,SELECT COUNT(*) FROM flights WHERE dep_delay >= 165.00 and dep_delay < 195.00 and taxi_in > 3.00 and taxi_in < 881.00;,100
ApproachType.MODEL_BASED,6,0.06373713910579681,1.7763568394002505e-13,100,1,SELECT COUNT(*) FROM flights WHERE year_date = 2005 and origin = 'ACT' and dep_delay >= 22.00 and dep_delay <= 888.00;,100
ApproachType.MODEL_BASED,7,0.03794772922992706,0.0,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'APF' and arr_delay > 136.00 and arr_delay <= 710.00;,100
ApproachType.MODEL_BASED,8,0.013210341334342957,1119.4583648589373,100,1,SELECT COUNT(*) FROM flights WHERE dest = 'ILM' and distance > 406.00 and distance <= 631.00;,100
ApproachType.MODEL_BASED,9,0.006244935095310211,9.767822427738243e-11,100,1,SELECT COUNT(*) FROM flights WHERE taxi_in > 175.00 and taxi_in < 882.00;,100
ApproachType.MODEL_BASED,10,0.07270753383636475,5.921189464667501e-14,100,1,SELECT COUNT(*) FROM flights WHERE taxi_out > 192.00 and taxi_out < 299.00 and arr_delay > 141.00 and arr_delay < 604.00 and dep_delay > 185.00 and dep_delay <= 860.00;,100
ApproachType.MODEL_BASED,11,0.016507640480995178,129.2084831875855,100,1,SELECT COUNT(*) FROM flights WHERE distance > 300.00 and distance <= 380.00 and taxi_out > 190.00 and taxi_out < 245.00;,100
ApproachType.MODEL_BASED,12,0.014755405485630035,4.325520250985926e-14,100,1,SELECT COUNT(*) FROM flights WHERE year_date = 2002 and distance >= 1607.00 and distance < 2504.00;,100
ApproachType.MODEL_BASED,13,0.018049009144306183,0.5506704980323756,100,1,SELECT COUNT(*) FROM flights WHERE year_date = 2007 and air_time > 108.00 and air_time <= 474.00;,100
ApproachType.MODEL_BASED,14,0.048351891338825226,0.7757945401615961,100,1,SELECT COUNT(*) FROM flights WHERE year_date = 2014 and arr_delay > 24.00 and arr_delay <= 780.00;,100
ApproachType.MODEL_BASED,15,0.04347178339958191,1.0344340493008581,100,1,SELECT COUNT(*) FROM flights WHERE dep_delay > 22.00 and dep_delay <= 242.00 and distance >= 775.00 and distance < 979.00 and air_time > -197.00 and air_time < 535.00;,100
ApproachType.MODEL_BASED,16,0.03987462818622589,0.5779051428796206,100,1,SELECT COUNT(*) FROM flights WHERE year_date = 2008 and arr_delay > 418.00 and arr_delay < 441.00;,100
ApproachType.MODEL_BASED,17,0.028572306036949158,9.564998366001349e-14,100,1,SELECT COUNT(*) FROM flights WHERE air_time >= 427.00 and air_time < 568.00 and distance > 289.00 and distance < 831.00;,100
ApproachType.MODEL_BASED,18,0.04506368190050125,0.008065523726544874,100,1,SELECT COUNT(*) FROM flights WHERE dest = 'PDX' and arr_delay >= 123.00 and arr_delay < 665.00 and air_time >= 269.00 and air_time <= 540.00;,100
ApproachType.MODEL_BASED,19,0.04844749718904495,0.08374987007896326,100,1,SELECT COUNT(*) FROM flights WHERE dep_delay >= -45.00 and dep_delay < 61.00 and arr_delay > 156.00 and arr_delay < 498.00;,100
ApproachType.MODEL_BASED,20,0.020218417048454285,0.002037000284217982,100,1,SELECT COUNT(*) FROM flights WHERE dep_delay >= 362.00 and dep_delay < 934.00 and air_time >= -389.00 and air_time <= 260.00;,100
ApproachType.MODEL_BASED,21,0.05868694186210632,0.00847060385570586,100,1,SELECT COUNT(*) FROM flights WHERE arr_delay >= -11.00 and arr_delay < 433.00 and taxi_in >= 129.00 and taxi_in < 738.00 and air_time >= 306.00 and air_time <= 391.00;,100
ApproachType.MODEL_BASED,22,0.03822328895330429,2.414259662333329,100,1,SELECT COUNT(*) FROM flights WHERE year_date = 1996 and arr_delay >= 361.00 and arr_delay < 362.00;,100
ApproachType.MODEL_BASED,23,0.002875402569770813,0.0,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 2745.0 and distance < 2928.0;,100
ApproachType.MODEL_BASED,24,0.008235551416873932,1.9974883637068986e-12,100,1,SELECT COUNT(*) FROM flights WHERE taxi_out > 158.00 and taxi_out < 310.00;,100
ApproachType.MODEL_BASED,25,0.0075382813811302185,1.174046516918582e-12,100,1,SELECT COUNT(*) FROM flights WHERE taxi_out >= 173.00 and taxi_out <= 233.00;,100
ApproachType.MODEL_BASED,26,0.006969474256038666,3.440860510591218e-14,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'LGA';,100
ApproachType.MODEL_BASED,27,0.00704115629196167,1.0556990625047132e-12,100,1,SELECT COUNT(*) FROM flights WHERE taxi_in > 40.00 and taxi_in < 86.00;,100
ApproachType.MODEL_BASED,28,0.006302788853645325,3.145951925883529e-14,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'BZN';,100
ApproachType.MODEL_BASED,29,0.0598415806889534,0.0,100,1,SELECT COUNT(*) FROM flights WHERE taxi_out >= 241.00 and taxi_out <= 304.00 and arr_delay >= 4.00 and arr_delay <= 950.00;,100
ApproachType.MODEL_BASED,30,0.020521216094493866,0.3224152914333918,100,1,SELECT COUNT(*) FROM flights WHERE dep_delay > 569.00 and dep_delay <= 824.00 and air_time > 185.00 and air_time <= 336.00;,100
ApproachType.MODEL_BASED,31,0.027913294732570648,2.1763453021606323e-14,100,1,SELECT COUNT(*) FROM flights WHERE dest = 'BOS' and year_date = 2003;,100
ApproachType.MODEL_BASED,32,0.02040756493806839,0.019104182000696232,100,1,SELECT COUNT(*) FROM flights WHERE dep_delay > 238.00 and dep_delay <= 852.00 and air_time >= 265.00 and air_time <= 670.00;,100
ApproachType.MODEL_BASED,33,0.017725393176078796,17.11634042697145,100,1,SELECT COUNT(*) FROM flights WHERE taxi_out >= 102.00 and taxi_out <= 1327.00 and air_time > 112.00 and air_time < 308.00;,100
ApproachType.MODEL_BASED,34,0.0029340237379074097,1.3550720261822125e-14,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 1641.00 and distance <= 4184.00;,100
