approach,query_no,latency,average_relative_error,bin_completeness,total_bins,query,sample_percentage
ApproachType.MODEL_BASED,0,0.00405748188495636,1.1302162159529296e-14,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 692.00;,100
ApproachType.MODEL_BASED,1,0.0033135339617729187,1.9608268888802114e-14,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 158.00;,100
ApproachType.MODEL_BASED,2,0.0031059905886650085,1.1406219032498284e-14,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 277.00;,100
ApproachType.MODEL_BASED,3,0.00309966504573822,1.1138911097252171e-14,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 257.00;,100
ApproachType.MODEL_BASED,4,0.003360554575920105,0.0,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 91.00;,100
ApproachType.MODEL_BASED,5,0.0032752230763435364,0.0,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 159.00;,100
ApproachType.MODEL_BASED,6,0.0028562024235725403,1.8643920846142406e-14,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 56.00;,100
ApproachType.MODEL_BASED,7,0.002824440598487854,3.4361670771869145e-14,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 542.00;,100
ApproachType.MODEL_BASED,8,0.002940349280834198,1.5982981439656714e-14,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 914.00;,100
ApproachType.MODEL_BASED,9,0.0033235475420951843,0.0,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 253.00;,100
ApproachType.MODEL_BASED,10,0.0032911747694015503,1.4671903892386776e-14,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 426.00;,100
ApproachType.MODEL_BASED,11,0.0030077174305915833,1.9364832557736045e-14,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 140.00;,100
ApproachType.MODEL_BASED,12,0.0032944604754447937,0.0,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 71.00;,100
ApproachType.MODEL_BASED,13,0.0032943785190582275,2.2046012973892654e-14,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 251.00;,100
ApproachType.MODEL_BASED,14,0.003298036754131317,0.0,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 234.00;,100
ApproachType.MODEL_BASED,15,0.003294937312602997,1.2203545095880332e-14,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 323.00;,100
ApproachType.MODEL_BASED,16,0.003381595015525818,5.594799147286762e-14,100,1,SELECT COUNT(*) FROM flights WHERE distance <= 1192.00;,100
ApproachType.MODEL_BASED,17,0.0033005252480506897,1.9216747704961024e-14,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 127.00;,100
ApproachType.MODEL_BASED,18,0.0032898783683776855,0.0,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 96.00;,100
ApproachType.MODEL_BASED,19,0.00299285352230072,2.0416008555871022e-14,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 198.00;,100
ApproachType.MODEL_BASED,20,0.0033157989382743835,1.9204685363932205e-14,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 125.00;,100
ApproachType.MODEL_BASED,21,0.002927325665950775,4.3679831016922236e-14,100,1,SELECT COUNT(*) FROM flights WHERE distance <= 1269.00;,100
ApproachType.MODEL_BASED,22,0.0032631531357765198,0.0,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 507.00;,100
ApproachType.MODEL_BASED,23,0.0032559409737586975,0.0,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 583.00;,100
ApproachType.MODEL_BASED,24,0.0032939165830612183,1.8642984090601116e-14,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 50.00;,100
ApproachType.MODEL_BASED,25,0.003005079925060272,1.8651638665163006e-14,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 62.00;,100
ApproachType.MODEL_BASED,26,0.0029133930802345276,0.0,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 852.00;,100
ApproachType.MODEL_BASED,27,0.002967633306980133,1.3725498664555626e-14,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 391.00;,100
ApproachType.MODEL_BASED,28,0.003311373293399811,0.0,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 224.00;,100
ApproachType.MODEL_BASED,29,0.003280237317085266,0.0,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 238.00;,100
ApproachType.MODEL_BASED,30,0.0029372721910476685,1.356979693465934e-14,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 382.00;,100
ApproachType.MODEL_BASED,31,0.00345032662153244,0.0,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 332.00;,100
ApproachType.MODEL_BASED,32,0.0033249780535697937,0.0,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 126.00;,100
ApproachType.MODEL_BASED,33,0.003307424485683441,1.1392603789884505e-14,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 696.00;,100
ApproachType.MODEL_BASED,34,0.0029956549406051636,0.0,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 346.00;,100
ApproachType.MODEL_BASED,35,0.002985052764415741,1.867487169965243e-14,100,1,SELECT COUNT(*) FROM flights WHERE distance <= 2715.00;,100
ApproachType.MODEL_BASED,36,0.002913065254688263,1.6727132439747117e-14,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 936.00;,100
ApproachType.MODEL_BASED,37,0.003180891275405884,1.2334646824372005e-14,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 756.00;,100
ApproachType.MODEL_BASED,38,0.0032378733158111572,0.0,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 287.00;,100
