approach,query_no,latency,average_relative_error,bin_completeness,total_bins,query,sample_percentage
ApproachType.MODEL_BASED,0,0.03937067091464996,0.0051926624323565705,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'DCA' and arr_delay > 96.00 and arr_delay <= 329.00;,100
ApproachType.MODEL_BASED,1,0.03476756066083908,10.647096888053698,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'ADK' and arr_delay >= 145.00 and arr_delay <= 298.00;,100
ApproachType.MODEL_BASED,2,0.03389110416173935,100,-1,-1,SELECT COUNT(*) FROM flights WHERE origin = 'BIS' and arr_delay >= 647.00 and arr_delay <= 747.00;,100
ApproachType.MODEL_BASED,3,0.0314333438873291,11.091502114504475,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'ROA' and arr_delay > 227.00 and arr_delay < 467.00;,100
ApproachType.MODEL_BASED,4,0.03095836192369461,1.1842378929335004e-14,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'PDX' and arr_delay > 381.00 and arr_delay < 665.00;,100
ApproachType.MODEL_BASED,5,0.041397400200366974,3.139362328407019,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'DRO' and arr_delay > -16.00 and arr_delay <= 203.00;,100
ApproachType.MODEL_BASED,6,0.03173200786113739,1.9601178917520006e-14,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'JFK' and arr_delay > 251.00 and arr_delay < 681.00;,100
ApproachType.MODEL_BASED,7,0.032705940306186676,106.26882717238928,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'KOA' and arr_delay >= 174.00 and arr_delay <= 711.00;,100
ApproachType.MODEL_BASED,8,0.03409862518310547,0.7006000352960686,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'DRO' and arr_delay >= -24.00 and arr_delay < 25.00;,100
ApproachType.MODEL_BASED,9,0.028027355670928955,0.05280423336996101,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'BWI' and arr_delay >= -64.00 and arr_delay <= 337.00;,100
ApproachType.MODEL_BASED,10,0.03302653878927231,51.316351942271055,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'EWN' and arr_delay >= 113.00 and arr_delay < 785.00;,100
ApproachType.MODEL_BASED,11,0.03161025047302246,1.987801577354594,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'LAW' and arr_delay >= -22.00 and arr_delay < 655.00;,100
ApproachType.MODEL_BASED,12,0.03308430314064026,6.832141690000964e-14,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'DFW' and arr_delay >= 689.00 and arr_delay < 842.00;,100
ApproachType.MODEL_BASED,13,0.027651503682136536,0.0344234472090444,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'EGE' and arr_delay >= -48.00 and arr_delay <= 355.00;,100
ApproachType.MODEL_BASED,14,0.03234686702489853,2.1745200698081355,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'BGM' and arr_delay >= -25.00 and arr_delay <= 4.00;,100
ApproachType.MODEL_BASED,15,0.029359042644500732,7.854376999932429,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'DIK' and arr_delay >= -25.00 and arr_delay <= 1130.00;,100
ApproachType.MODEL_BASED,16,0.033506475389003754,17.681617018196093,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'MBS' and arr_delay >= 95.00 and arr_delay <= 229.00;,100
ApproachType.MODEL_BASED,17,0.03253435343503952,0.0,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'CID' and arr_delay >= 305.00 and arr_delay < 312.00;,100
ApproachType.MODEL_BASED,18,0.03222246468067169,2.91830052187184e-13,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'RAP' and arr_delay >= 314.00 and arr_delay < 1312.00;,100
ApproachType.MODEL_BASED,19,0.029778212308883667,100,-1,-1,SELECT COUNT(*) FROM flights WHERE origin = 'SBP' and arr_delay > 299.00 and arr_delay < 489.00;,100
ApproachType.MODEL_BASED,20,0.038931041955947876,1.448701340829768e-14,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'AMA' and arr_delay > -5.00 and arr_delay <= 899.00;,100
ApproachType.MODEL_BASED,21,0.028988026082515717,8.70631800918607e-06,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'MCO' and arr_delay >= -88.00 and arr_delay < 351.00;,100
ApproachType.MODEL_BASED,22,0.03319033980369568,2.90676573720041e-13,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'FSD' and arr_delay >= 203.00 and arr_delay < 511.00;,100
ApproachType.MODEL_BASED,23,0.04009456932544708,15.79056471108918,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'MGM' and arr_delay >= 47.00 and arr_delay <= 58.00;,100
ApproachType.MODEL_BASED,24,0.030730336904525757,0.0,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'LSE' and arr_delay > 514.00 and arr_delay < 1263.00;,100
ApproachType.MODEL_BASED,25,0.03210330754518509,39.2401905994469,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'GUC' and arr_delay >= 184.00 and arr_delay <= 615.00;,100
ApproachType.MODEL_BASED,26,0.03307923674583435,1.4764524379430652e-14,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'MDW' and arr_delay >= 186.00 and arr_delay < 468.00;,100
ApproachType.MODEL_BASED,27,0.03212516009807587,0.0,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'DBQ' and arr_delay >= 588.00 and arr_delay <= 1067.00;,100
ApproachType.MODEL_BASED,28,0.032224126160144806,0.0,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'EGE' and arr_delay >= 391.00 and arr_delay <= 545.00;,100
ApproachType.MODEL_BASED,29,0.03289532661437988,1.8285894984125223e-14,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'JAX' and arr_delay >= -20.00 and arr_delay < 685.00;,100
ApproachType.MODEL_BASED,30,0.032037362456321716,93.53609035825805,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'SUN' and arr_delay >= 298.00 and arr_delay <= 510.00;,100
ApproachType.MODEL_BASED,31,0.027816519141197205,2.0728042886967768e-14,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'BUF' and arr_delay >= -106.00 and arr_delay < 984.00;,100
ApproachType.MODEL_BASED,32,0.03242260962724686,2.791417890486108e-13,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'ITO' and arr_delay >= 154.00 and arr_delay <= 654.00;,100
ApproachType.MODEL_BASED,33,0.03212601691484451,1.7763568394002505e-13,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'SJU' and arr_delay > 402.00 and arr_delay <= 779.00;,100
ApproachType.MODEL_BASED,34,0.03988947719335556,0.6355422482005925,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'GNV' and arr_delay > -4.00 and arr_delay <= 191.00;,100
ApproachType.MODEL_BASED,35,0.033773474395275116,0.05394927596624595,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'MSY' and arr_delay > 38.00 and arr_delay < 100.00;,100
ApproachType.MODEL_BASED,36,0.03239152580499649,17.42709722962787,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'MLU' and arr_delay >= 148.00 and arr_delay < 466.00;,100
ApproachType.MODEL_BASED,37,0.03336942195892334,2.1131382476136807e-14,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'LAX' and arr_delay >= 250.00 and arr_delay < 1260.00;,100
ApproachType.MODEL_BASED,38,0.03240486979484558,5.1990931884885375e-14,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'OMA' and arr_delay > 261.00 and arr_delay <= 434.00;,100
ApproachType.MODEL_BASED,39,0.03203517198562622,3.019806626980426e-13,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'LBB' and arr_delay >= 368.00 and arr_delay < 800.00;,100
ApproachType.MODEL_BASED,40,0.029773831367492676,2.812564995717063e-13,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'JAC' and arr_delay > 476.00 and arr_delay < 819.00;,100
ApproachType.MODEL_BASED,41,0.03082209825515747,47.080080340860626,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'CSG' and arr_delay > 153.00 and arr_delay < 693.00;,100
ApproachType.MODEL_BASED,42,0.03321118652820587,0.11845460062938319,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'BRW' and arr_delay >= -47.00 and arr_delay <= 181.00;,100
ApproachType.MODEL_BASED,43,0.032310523092746735,40.59650567680442,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'BRD' and arr_delay > 167.00 and arr_delay <= 646.00;,100
ApproachType.MODEL_BASED,44,0.03291158378124237,50.0,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'SUX' and arr_delay >= 258.00 and arr_delay <= 472.00;,100
ApproachType.MODEL_BASED,45,0.03322120010852814,1.827762664334663e-14,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'JFK' and arr_delay > 235.00 and arr_delay <= 376.00;,100
ApproachType.MODEL_BASED,46,0.03228701651096344,0.0,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'SRQ' and arr_delay >= 388.00 and arr_delay <= 661.00;,100
ApproachType.MODEL_BASED,47,0.03529035300016403,0.12280844406736477,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'CLE' and arr_delay >= 40.00 and arr_delay < 1273.00;,100
ApproachType.MODEL_BASED,48,0.038211382925510406,249.55820930642022,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'PSC' and arr_delay > 337.00 and arr_delay < 649.00;,100
ApproachType.MODEL_BASED,49,0.03808625787496567,0.0,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'EYW' and arr_delay > 398.00 and arr_delay < 615.00;,100
ApproachType.MODEL_BASED,50,0.03306408226490021,0.02823695511487643,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'GRI' and arr_delay > -69.00 and arr_delay < 595.00;,100
ApproachType.MODEL_BASED,51,0.038521215319633484,3.3306690738754696e-14,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'ECP' and arr_delay >= 354.00 and arr_delay <= 578.00;,100
ApproachType.MODEL_BASED,52,0.04308943450450897,3.6982242928462012,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'GSP' and arr_delay >= 39.00 and arr_delay < 200.00;,100
ApproachType.MODEL_BASED,53,0.0363907590508461,0.016267218955841156,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'DFW' and arr_delay >= -69.00 and arr_delay < 81.00;,100
ApproachType.MODEL_BASED,54,0.033828385174274445,100,-1,-1,SELECT COUNT(*) FROM flights WHERE origin = 'GUC' and arr_delay >= 1247.00 and arr_delay <= 1554.00;,100
ApproachType.MODEL_BASED,55,0.03748524188995361,21.40958943104078,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'LRD' and arr_delay >= 22.00 and arr_delay < 292.00;,100
ApproachType.MODEL_BASED,56,0.02891736477613449,0.38372453281578633,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'CMI' and arr_delay > -63.00 and arr_delay < 174.00;,100
ApproachType.MODEL_BASED,57,0.03290935605764389,2.7504880093939363e-13,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'LIT' and arr_delay > 229.00 and arr_delay < 411.00;,100
ApproachType.MODEL_BASED,58,0.029982008039951324,0.05753052377906952,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'SAN' and arr_delay > -62.00 and arr_delay <= 316.00;,100
ApproachType.MODEL_BASED,59,0.03592927008867264,0.0,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'RIC' and arr_delay > 668.00 and arr_delay < 883.00;,100
ApproachType.MODEL_BASED,60,0.03568194806575775,2.0975431313951297e-14,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'HPN' and arr_delay >= 71.00 and arr_delay <= 147.00;,100
ApproachType.MODEL_BASED,61,0.037178657948970795,3.3306690738754696e-14,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'SJC' and arr_delay >= 351.00 and arr_delay < 822.00;,100
ApproachType.MODEL_BASED,62,0.03469523787498474,6.579099405186113e-14,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'HOU' and arr_delay > 326.00 and arr_delay <= 578.00;,100
ApproachType.MODEL_BASED,63,0.033158592879772186,100,-1,-1,SELECT COUNT(*) FROM flights WHERE origin = 'UST' and arr_delay > 119.00 and arr_delay <= 435.00;,100
ApproachType.MODEL_BASED,64,0.09344102442264557,3.3306690738754696e-14,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'FAR' and arr_delay > 385.00 and arr_delay <= 1240.00;,100
ApproachType.MODEL_BASED,65,0.033869460225105286,43.042690905506845,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'CLL' and arr_delay > 38.00 and arr_delay < 275.00;,100
ApproachType.MODEL_BASED,66,0.03411613404750824,0.6540413419118198,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'IAD' and arr_delay >= -20.00 and arr_delay < 493.00;,100
ApproachType.MODEL_BASED,67,0.03199906647205353,100,-1,-1,SELECT COUNT(*) FROM flights WHERE origin = 'ESC' and arr_delay >= 223.00 and arr_delay <= 1095.00;,100
