approach,query_no,latency,average_relative_error,bin_completeness,total_bins,query,sample_percentage
ApproachType.MODEL_BASED,0,0.04879233241081238,373.6530310375565,100,1,SELECT AVG(distance) FROM flights WHERE dest = 'TYR' and arr_delay >= 41.00 and arr_delay < 712.00;,100
ApproachType.MODEL_BASED,1,0.03339393436908722,0.3263682408169692,100,1,SELECT AVG(distance) FROM flights WHERE air_time > 244.00 and air_time <= 417.00 and taxi_out >= 317.00 and taxi_out <= 472.00;,100
ApproachType.MODEL_BASED,2,0.16105902194976807,1.4113880894719137,100,1,SELECT AVG(distance) FROM flights WHERE year_date = 2005 and air_time > -678.00 and air_time < 706.00;,100
ApproachType.MODEL_BASED,3,0.08968327939510345,15.999243235244412,100,1,SELECT AVG(taxi_out) FROM flights WHERE origin = 'PIH' and air_time >= -522.00 and air_time < 572.00;,100
ApproachType.MODEL_BASED,4,0.034829914569854736,17.242947530189966,100,1,SELECT AVG(air_time) FROM flights WHERE origin = 'MLI' and dep_delay >= 156.00 and dep_delay < 274.00;,100
ApproachType.MODEL_BASED,5,0.15362191200256348,8.733784370497206,100,1,SELECT AVG(dep_delay) FROM flights WHERE distance > 257.00 and distance <= 680.00 and arr_delay >= -92.00 and arr_delay < 1104.00;,100
ApproachType.MODEL_BASED,6,0.03229757398366928,94.43074225443365,100,1,SELECT AVG(arr_delay) FROM flights WHERE dep_delay >= 420.00 and dep_delay < 586.00 and air_time >= 311.00 and air_time <= 446.00;,100
ApproachType.MODEL_BASED,7,0.030528366565704346,3.902274198689097,100,1,SELECT AVG(distance) FROM flights WHERE dest = 'SFO';,100
ApproachType.MODEL_BASED,8,0.05390731990337372,20.28090026203642,100,1,SELECT AVG(air_time) FROM flights WHERE dep_delay >= 282.00 and dep_delay < 362.00 and arr_delay > 224.00 and arr_delay < 898.00;,100
ApproachType.MODEL_BASED,9,0.025845132768154144,18.708985132550996,100,1,SELECT AVG(air_time) FROM flights WHERE dep_delay > 173.00 and dep_delay < 449.00;,100
ApproachType.MODEL_BASED,10,0.034531593322753906,0.28738711326402494,100,1,SELECT AVG(taxi_out) FROM flights WHERE dest = 'BOS' and year_date = 2003;,100
ApproachType.MODEL_BASED,11,0.17577769607305527,14.014314256602,100,1,SELECT AVG(taxi_in) FROM flights WHERE distance >= 1076.00 and distance < 1910.00 and dep_delay >= 108.00 and dep_delay <= 788.00 and air_time > -664.00 and air_time < 322.00;,100
ApproachType.MODEL_BASED,12,0.018353164196014404,47.1850090850685,100,1,SELECT AVG(taxi_in) FROM flights WHERE origin = 'SCC';,100
ApproachType.MODEL_BASED,13,0.0520981028676033,1.6441750438607288,100,1,SELECT AVG(taxi_in) FROM flights WHERE dest = 'BJI' and taxi_out >= 40.00 and taxi_out < 95.00;,100
ApproachType.MODEL_BASED,14,0.07707629352807999,32.148766043764226,100,1,SELECT AVG(dep_delay) FROM flights WHERE taxi_in > 14.00 and taxi_in < 153.00 and distance > 1265.00 and distance <= 1795.00;,100
ApproachType.MODEL_BASED,15,0.10247736424207687,83.47329166949716,100,1,SELECT AVG(taxi_out) FROM flights WHERE dep_delay >= 0.0 and dep_delay < 178.0 and air_time >= 588.0 and air_time < 630.0;,100
ApproachType.MODEL_BASED,16,0.02494373917579651,16.83345648215379,100,1,SELECT AVG(dep_delay) FROM flights WHERE taxi_out >= 135.00 and taxi_out <= 195.00;,100
ApproachType.MODEL_BASED,17,0.18695830553770065,1.9722160432474705,100,1,SELECT AVG(distance) FROM flights WHERE year_date = 1995 and air_time >= 15.00 and air_time <= 593.00;,100
ApproachType.MODEL_BASED,18,0.03300859034061432,37.430270911826,100,1,SELECT AVG(taxi_out) FROM flights WHERE taxi_in >= 15.0 and taxi_in < 20.0 and distance >= 3546.0 and distance < 3743.0;,100
ApproachType.MODEL_BASED,19,0.01804133504629135,38.31226274245131,100,1,SELECT AVG(air_time) FROM flights WHERE dest = 'BTR';,100
ApproachType.MODEL_BASED,20,0.03672386705875397,91.66666666666666,100,1,SELECT AVG(taxi_out) FROM flights WHERE dest = 'ILG' and dep_delay > 440.00 and dep_delay <= 872.00;,100
ApproachType.MODEL_BASED,21,0.03214966505765915,0.39621284694861536,100,1,SELECT AVG(dep_delay) FROM flights WHERE origin = 'SEA';,100
ApproachType.MODEL_BASED,22,0.15634336322546005,20.463349048592285,100,1,SELECT AVG(taxi_in) FROM flights WHERE origin = 'CID' and dep_delay >= -29.00 and dep_delay <= 796.00 and arr_delay >= 171.00 and arr_delay < 396.00;,100
ApproachType.MODEL_BASED,23,0.01781889796257019,16.516646720425566,100,1,SELECT AVG(air_time) FROM flights WHERE origin = 'OAJ';,100
ApproachType.MODEL_BASED,24,0.022660978138446808,12.841805978795312,100,1,SELECT AVG(taxi_in) FROM flights WHERE year_date = 1997;,100
ApproachType.MODEL_BASED,25,0.0390344113111496,1.9553928484931513,100,1,SELECT AVG(dep_delay) FROM flights WHERE taxi_in >= 123.00 and taxi_in < 217.00 and arr_delay >= 305.00 and arr_delay < 952.00;,100
ApproachType.MODEL_BASED,26,0.03417845815420151,13.883539098639016,100,1,SELECT AVG(dep_delay) FROM flights WHERE origin = 'KTN' and year_date = 2015;,100
ApproachType.MODEL_BASED,27,0.020935863256454468,6.742864709868895,100,1,SELECT AVG(taxi_in) FROM flights WHERE origin = 'MIA';,100
ApproachType.MODEL_BASED,28,0.1179002970457077,12.40930303964346,100,1,SELECT AVG(distance) FROM flights WHERE dep_delay > -12.00 and dep_delay < 711.00 and taxi_in > 142.00 and taxi_in < 171.00;,100
ApproachType.MODEL_BASED,29,0.1755390241742134,25.986654395731417,100,1,SELECT AVG(distance) FROM flights WHERE air_time >= 17.00 and air_time < 326.00 and taxi_in >= 155.00 and taxi_in < 937.00 and dep_delay >= 237.00 and dep_delay < 790.00;,100
ApproachType.MODEL_BASED,30,0.1296328529715538,12.517190191040154,100,1,SELECT AVG(taxi_in) FROM flights WHERE air_time >= 212.00 and air_time < 489.00 and arr_delay > -106.00 and arr_delay <= 251.00;,100
ApproachType.MODEL_BASED,31,0.0365041047334671,40.48758533177884,100,1,SELECT AVG(distance) FROM flights WHERE dep_delay >= 204.00 and dep_delay < 292.00 and air_time >= 264.00 and air_time <= 598.00;,100
ApproachType.MODEL_BASED,32,0.035853102803230286,19.237890766799268,100,1,SELECT AVG(taxi_in) FROM flights WHERE year_date = 2003 and taxi_out > 166.00 and taxi_out < 198.00;,100
ApproachType.MODEL_BASED,33,0.036048807203769684,7.3491377033318335,100,1,SELECT AVG(air_time) FROM flights WHERE taxi_out >= 28.0 and taxi_out < 35.0 and dep_delay >= 600.0 and dep_delay < 800.0;,100
ApproachType.MODEL_BASED,34,0.056812867522239685,25.68660052393251,100,1,SELECT AVG(distance) FROM flights WHERE year_date = 2012 and taxi_in > 122.00 and taxi_in <= 721.00 and arr_delay > 42.00 and arr_delay < 680.00;,100
ApproachType.MODEL_BASED,35,0.01723436266183853,16.35423320065893,100,1,SELECT AVG(taxi_in) FROM flights WHERE dep_delay > 498.00 and dep_delay <= 780.00;,100
ApproachType.MODEL_BASED,36,0.03675077110528946,27.71009859307167,100,1,SELECT AVG(arr_delay) FROM flights WHERE dest = 'SJC' and taxi_out >= 113.00 and taxi_out < 325.00;,100
ApproachType.MODEL_BASED,37,0.04996687173843384,20.34237551613681,100,1,SELECT AVG(dep_delay) FROM flights WHERE arr_delay > 126.00 and arr_delay < 768.00 and taxi_in > 17.00 and taxi_in <= 85.00;,100
ApproachType.MODEL_BASED,38,0.016434364020824432,11.338377944678033,100,1,SELECT AVG(taxi_out) FROM flights WHERE dep_delay > 513.00 and dep_delay < 958.00;,100
ApproachType.MODEL_BASED,39,0.014524377882480621,1.788015708509603,100,1,SELECT AVG(taxi_out) FROM flights WHERE origin = 'ECP';,100
