approach,query_no,latency,average_relative_error,bin_completeness,total_bins,query,sample_percentage
ApproachType.MODEL_BASED,0,0.0037743523716926575,1.1302162159529296e-14,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 692.00;,100
ApproachType.MODEL_BASED,1,0.003765292465686798,1.9608268888802114e-14,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 158.00;,100
ApproachType.MODEL_BASED,2,0.0037057101726531982,1.1406219032498284e-14,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 277.00;,100
ApproachType.MODEL_BASED,3,0.003512762486934662,1.1138911097252171e-14,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 257.00;,100
ApproachType.MODEL_BASED,4,0.0038092955946922302,0.0,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 91.00;,100
ApproachType.MODEL_BASED,5,0.0034402310848236084,0.0,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 159.00;,100
ApproachType.MODEL_BASED,6,0.0035089999437332153,1.8643920846142406e-14,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 56.00;,100
ApproachType.MODEL_BASED,7,0.003727525472640991,3.4361670771869145e-14,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 542.00;,100
ApproachType.MODEL_BASED,8,0.0032773390412330627,1.5982981439656714e-14,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 914.00;,100
ApproachType.MODEL_BASED,9,0.0037687793374061584,0.0,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 253.00;,100
ApproachType.MODEL_BASED,10,0.0037398114800453186,1.4671903892386776e-14,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 426.00;,100
ApproachType.MODEL_BASED,11,0.0034427717328071594,1.9364832557736045e-14,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 140.00;,100
ApproachType.MODEL_BASED,12,0.0036980807781219482,0.0,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 71.00;,100
ApproachType.MODEL_BASED,13,0.003804810345172882,2.2046012973892654e-14,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 251.00;,100
ApproachType.MODEL_BASED,14,0.003773130476474762,0.0,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 234.00;,100
ApproachType.MODEL_BASED,15,0.003746241331100464,1.2203545095880332e-14,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 323.00;,100
ApproachType.MODEL_BASED,16,0.0037504062056541443,5.594799147286762e-14,100,1,SELECT COUNT(*) FROM flights WHERE distance <= 1192.00;,100
ApproachType.MODEL_BASED,17,0.003764212131500244,1.9216747704961024e-14,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 127.00;,100
ApproachType.MODEL_BASED,18,0.0037710443139076233,0.0,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 96.00;,100
ApproachType.MODEL_BASED,19,0.003768511116504669,2.0416008555871022e-14,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 198.00;,100
ApproachType.MODEL_BASED,20,0.003716878592967987,1.9204685363932205e-14,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 125.00;,100
ApproachType.MODEL_BASED,21,0.003696821630001068,4.3679831016922236e-14,100,1,SELECT COUNT(*) FROM flights WHERE distance <= 1269.00;,100
ApproachType.MODEL_BASED,22,0.003387346863746643,0.0,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 507.00;,100
ApproachType.MODEL_BASED,23,0.003694787621498108,0.0,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 583.00;,100
ApproachType.MODEL_BASED,24,0.0036668628454208374,1.8642984090601116e-14,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 50.00;,100
ApproachType.MODEL_BASED,25,0.0037536844611167908,1.8651638665163006e-14,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 62.00;,100
ApproachType.MODEL_BASED,26,0.00332757830619812,0.0,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 852.00;,100
ApproachType.MODEL_BASED,27,0.003737211227416992,1.3725498664555626e-14,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 391.00;,100
ApproachType.MODEL_BASED,28,0.0036917030811309814,0.0,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 224.00;,100
ApproachType.MODEL_BASED,29,0.003772251307964325,0.0,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 238.00;,100
ApproachType.MODEL_BASED,30,0.0036780089139938354,1.356979693465934e-14,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 382.00;,100
ApproachType.MODEL_BASED,31,0.004665210843086243,0.0,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 332.00;,100
ApproachType.MODEL_BASED,32,0.003713361918926239,0.0,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 126.00;,100
ApproachType.MODEL_BASED,33,0.0037248730659484863,1.1392603789884505e-14,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 696.00;,100
ApproachType.MODEL_BASED,34,0.0036687180399894714,0.0,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 346.00;,100
ApproachType.MODEL_BASED,35,0.003707490861415863,1.867487169965243e-14,100,1,SELECT COUNT(*) FROM flights WHERE distance <= 2715.00;,100
ApproachType.MODEL_BASED,36,0.003619067370891571,1.6727132439747117e-14,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 936.00;,100
ApproachType.MODEL_BASED,37,0.003673836588859558,1.2334646824372005e-14,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 756.00;,100
ApproachType.MODEL_BASED,38,0.0034420639276504517,0.0,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 287.00;,100
ApproachType.MODEL_BASED,39,0.0037607327103614807,1.1391112806532864e-14,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 274.00;,100
ApproachType.MODEL_BASED,40,0.003388240933418274,1.8535139978718413e-14,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 982.00;,100
ApproachType.MODEL_BASED,41,0.0037815645337104797,0.0,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 153.00;,100
ApproachType.MODEL_BASED,42,0.003731653094291687,1.6334911674968895e-14,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 503.00;,100
ApproachType.MODEL_BASED,43,0.003648333251476288,1.8676249844896e-14,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 985.00;,100
ApproachType.MODEL_BASED,44,0.003741227090358734,0.0,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 408.00;,100
ApproachType.MODEL_BASED,45,0.003409743309020996,1.2100035814815324e-14,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 317.00;,100
ApproachType.MODEL_BASED,46,0.0034046247601509094,2.445540769969494e-14,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 325.00;,100
ApproachType.MODEL_BASED,47,0.003951273858547211,0.0,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 288.00;,100
ApproachType.MODEL_BASED,48,0.0037776678800582886,0.0,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 65.00;,100
ApproachType.MODEL_BASED,49,0.0038509443402290344,1.884905506279011e-14,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 95.00;,100
ApproachType.MODEL_BASED,50,0.0037373974919319153,1.3808209385907318e-14,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 396.00;,100
ApproachType.MODEL_BASED,51,0.0037705302238464355,2.0686624113081734e-14,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 213.00;,100
ApproachType.MODEL_BASED,52,0.003757782280445099,1.1829100311787338e-14,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 304.00;,100
ApproachType.MODEL_BASED,53,0.003754623234272003,0.0,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 271.00;,100
ApproachType.MODEL_BASED,54,0.003764890134334564,0.0,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 220.00;,100
ApproachType.MODEL_BASED,55,0.0037722140550613403,0.0,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 208.00;,100
ApproachType.MODEL_BASED,56,0.003681853413581848,0.0,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 86.00;,100
ApproachType.MODEL_BASED,57,0.003794148564338684,1.931700345875451e-14,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 604.00;,100
ApproachType.MODEL_BASED,58,0.003776855766773224,0.0,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 92.00;,100
ApproachType.MODEL_BASED,59,0.0037816837430000305,0.0,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 112.00;,100
ApproachType.MODEL_BASED,60,0.0036418959498405457,3.4216729404345696e-14,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 538.00;,100
ApproachType.MODEL_BASED,61,0.003756396472454071,2.0037306279691437e-14,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 187.00;,100
ApproachType.MODEL_BASED,62,0.003763154149055481,0.0,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 164.00;,100
ApproachType.MODEL_BASED,63,0.0038269534707069397,1.4307111606829248e-14,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 411.00;,100
ApproachType.MODEL_BASED,64,0.003285840153694153,4.391056072730866e-14,100,1,SELECT COUNT(*) FROM flights WHERE distance <= 1243.00;,100
ApproachType.MODEL_BASED,65,0.003346085548400879,0.0,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 477.00;,100
ApproachType.MODEL_BASED,66,0.0034070834517478943,1.4891425775332776e-14,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 437.00;,100
ApproachType.MODEL_BASED,67,0.003653392195701599,0.0,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 845.00;,100
ApproachType.MODEL_BASED,68,0.003681592643260956,0.0,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 89.00;,100
ApproachType.MODEL_BASED,69,0.0030472949147224426,0.0,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 351.00;,100
ApproachType.MODEL_BASED,70,0.0035886913537979126,1.1909218667998758e-14,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 306.00;,100
ApproachType.MODEL_BASED,71,0.003577001392841339,0.0,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 398.00;,100
ApproachType.MODEL_BASED,72,0.003614872694015503,2.0484628534364612e-14,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 634.00;,100
ApproachType.MODEL_BASED,73,0.0036275312304496765,0.0,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 230.00;,100
ApproachType.MODEL_BASED,74,0.0034528151154518127,1.1646222698885459e-14,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 295.00;,100
ApproachType.MODEL_BASED,75,0.0033669844269752502,0.0,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 106.00;,100
ApproachType.MODEL_BASED,76,0.0036483630537986755,0.0,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 218.00;,100
ApproachType.MODEL_BASED,77,0.0034974291920661926,0.0,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 240.00;,100
ApproachType.MODEL_BASED,78,0.0036591365933418274,1.3446786849056271e-14,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 373.00;,100
ApproachType.MODEL_BASED,79,0.003955356776714325,0.0,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 273.00;,100
ApproachType.MODEL_BASED,80,0.003776371479034424,2.431628139925224e-14,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 320.00;,100
ApproachType.MODEL_BASED,81,0.0036581233143806458,3.6389823701984945e-14,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 972.00;,100
ApproachType.MODEL_BASED,82,0.003601565957069397,4.5494238966484586e-14,100,1,SELECT COUNT(*) FROM flights WHERE distance <= 1138.00;,100
ApproachType.MODEL_BASED,83,0.0037550926208496094,0.0,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 84.00;,100
ApproachType.MODEL_BASED,84,0.0037705153226852417,1.1218180487457799e-14,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 261.00;,100
ApproachType.MODEL_BASED,85,0.0036273598670959473,3.6003179808792246e-14,100,1,SELECT COUNT(*) FROM flights WHERE distance <= 1027.00;,100
ApproachType.MODEL_BASED,86,0.003780551254749298,1.8643137100014083e-14,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 54.00;,100
