approach,query_no,latency,average_relative_error,bin_completeness,total_bins,query,sample_percentage
ApproachType.MODEL_BASED,0,0.02063489705324173,7.376118819455263,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'DCA' and arr_delay > 96.00 and arr_delay <= 329.00;,100
ApproachType.MODEL_BASED,1,0.0179080069065094,100,-1,-1,SELECT COUNT(*) FROM flights WHERE origin = 'ADK' and arr_delay >= 145.00 and arr_delay <= 298.00;,100
ApproachType.MODEL_BASED,2,0.016852200031280518,100,-1,-1,SELECT COUNT(*) FROM flights WHERE origin = 'BIS' and arr_delay >= 647.00 and arr_delay <= 747.00;,100
ApproachType.MODEL_BASED,3,0.016742020845413208,11.091502114504475,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'ROA' and arr_delay > 227.00 and arr_delay < 467.00;,100
ApproachType.MODEL_BASED,4,0.01650145649909973,74.37183234973149,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'PDX' and arr_delay > 381.00 and arr_delay < 665.00;,100
ApproachType.MODEL_BASED,5,0.0297892764210701,3.139362328407019,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'DRO' and arr_delay > -16.00 and arr_delay <= 203.00;,100
ApproachType.MODEL_BASED,6,0.017463862895965576,46.036808710139645,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'JFK' and arr_delay > 251.00 and arr_delay < 681.00;,100
ApproachType.MODEL_BASED,7,0.017065569758415222,65.19739860096091,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'KOA' and arr_delay >= 174.00 and arr_delay <= 711.00;,100
ApproachType.MODEL_BASED,8,0.026339761912822723,0.7006000352960686,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'DRO' and arr_delay >= -24.00 and arr_delay < 25.00;,100
ApproachType.MODEL_BASED,9,0.025484047830104828,0.2315132658833247,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'BWI' and arr_delay >= -64.00 and arr_delay <= 337.00;,100
ApproachType.MODEL_BASED,10,0.022150740027427673,51.316351942271055,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'EWN' and arr_delay >= 113.00 and arr_delay < 785.00;,100
ApproachType.MODEL_BASED,11,0.023170925676822662,1.987801577354594,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'LAW' and arr_delay >= -22.00 and arr_delay < 655.00;,100
ApproachType.MODEL_BASED,12,0.016311705112457275,49.66259695918604,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'DFW' and arr_delay >= 689.00 and arr_delay < 842.00;,100
ApproachType.MODEL_BASED,13,0.023143745958805084,2.6874435092835105,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'EGE' and arr_delay >= -48.00 and arr_delay <= 355.00;,100
ApproachType.MODEL_BASED,14,0.0216541588306427,2.1745200698081355,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'BGM' and arr_delay >= -25.00 and arr_delay <= 4.00;,100
ApproachType.MODEL_BASED,15,0.02430044859647751,7.854376999932429,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'DIK' and arr_delay >= -25.00 and arr_delay <= 1130.00;,100
ApproachType.MODEL_BASED,16,0.01794573664665222,17.681617018196093,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'MBS' and arr_delay >= 95.00 and arr_delay <= 229.00;,100
ApproachType.MODEL_BASED,17,0.01561998575925827,0.0,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'CID' and arr_delay >= 305.00 and arr_delay < 312.00;,100
ApproachType.MODEL_BASED,18,0.016691915690898895,100,-1,-1,SELECT COUNT(*) FROM flights WHERE origin = 'RAP' and arr_delay >= 314.00 and arr_delay < 1312.00;,100
ApproachType.MODEL_BASED,19,0.01591700315475464,100,-1,-1,SELECT COUNT(*) FROM flights WHERE origin = 'SBP' and arr_delay > 299.00 and arr_delay < 489.00;,100
ApproachType.MODEL_BASED,20,0.028014525771141052,0.5489663428649576,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'AMA' and arr_delay > -5.00 and arr_delay <= 899.00;,100
ApproachType.MODEL_BASED,21,0.024478226900100708,0.5734497180701739,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'MCO' and arr_delay >= -88.00 and arr_delay < 351.00;,100
ApproachType.MODEL_BASED,22,0.015401259064674377,11.02544556830737,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'FSD' and arr_delay >= 203.00 and arr_delay < 511.00;,100
ApproachType.MODEL_BASED,23,0.018817052245140076,15.79056471108918,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'MGM' and arr_delay >= 47.00 and arr_delay <= 58.00;,100
ApproachType.MODEL_BASED,24,0.015925899147987366,100,-1,-1,SELECT COUNT(*) FROM flights WHERE origin = 'LSE' and arr_delay > 514.00 and arr_delay < 1263.00;,100
ApproachType.MODEL_BASED,25,0.01686789095401764,39.2401905994469,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'GUC' and arr_delay >= 184.00 and arr_delay <= 615.00;,100
ApproachType.MODEL_BASED,26,0.017452090978622437,16.60504676417471,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'MDW' and arr_delay >= 186.00 and arr_delay < 468.00;,100
ApproachType.MODEL_BASED,27,0.016145877540111542,100,-1,-1,SELECT COUNT(*) FROM flights WHERE origin = 'DBQ' and arr_delay >= 588.00 and arr_delay <= 1067.00;,100
ApproachType.MODEL_BASED,28,0.016219094395637512,0.0,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'EGE' and arr_delay >= 391.00 and arr_delay <= 545.00;,100
