approach,query_no,latency,average_relative_error,bin_completeness,total_bins,query,sample_percentage
ApproachType.MODEL_BASED,0,0.0416620597243309,1.3588134938615326,100,1,SELECT COUNT(*) FROM flights WHERE dest = 'TYR' and arr_delay >= 41.00 and arr_delay < 712.00;,100
ApproachType.MODEL_BASED,1,0.03278755396604538,1.730387774759258,100,1,SELECT COUNT(*) FROM flights WHERE air_time > 190.00 and air_time < 546.00 and arr_delay >= 543.00 and arr_delay < 918.00;,100
ApproachType.MODEL_BASED,2,0.030965790152549744,32.20020601252129,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'FLL' and dep_delay > 117.00 and dep_delay <= 428.00;,100
ApproachType.MODEL_BASED,3,0.06551340222358704,100,-1,-1,SELECT COUNT(*) FROM flights WHERE air_time >= 17.00 and air_time < 326.00 and taxi_in >= 155.00 and taxi_in < 937.00 and dep_delay >= 237.00 and dep_delay < 790.00;,100
ApproachType.MODEL_BASED,4,0.05568242073059082,33.31210671695429,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'MIA' and year_date = 2004 and air_time >= 135.00 and air_time <= 470.00;,100
ApproachType.MODEL_BASED,5,0.12070087343454361,0.18642604070724492,100,1,SELECT COUNT(*) FROM flights WHERE dep_delay >= 165.00 and dep_delay < 195.00 and taxi_in > 3.00 and taxi_in < 881.00;,100
ApproachType.MODEL_BASED,6,0.057870231568813324,39.164929161361606,100,1,SELECT COUNT(*) FROM flights WHERE year_date = 2005 and origin = 'ACT' and dep_delay >= 22.00 and dep_delay <= 888.00;,100
ApproachType.MODEL_BASED,7,0.030185192823410034,0.0,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'APF' and arr_delay > 136.00 and arr_delay <= 710.00;,100
ApproachType.MODEL_BASED,8,0.012967683374881744,1119.458364858938,100,1,SELECT COUNT(*) FROM flights WHERE dest = 'ILM' and distance > 406.00 and distance <= 631.00;,100
ApproachType.MODEL_BASED,9,0.008830733597278595,1.1060496561470476e-11,100,1,SELECT COUNT(*) FROM flights WHERE taxi_in > 175.00 and taxi_in < 882.00;,100
ApproachType.MODEL_BASED,10,0.05394235998392105,171.43325044584395,100,1,SELECT COUNT(*) FROM flights WHERE taxi_out > 192.00 and taxi_out < 299.00 and arr_delay > 141.00 and arr_delay < 604.00 and dep_delay > 185.00 and dep_delay <= 860.00;,100
ApproachType.MODEL_BASED,11,0.015514224767684937,129.20848318756083,100,1,SELECT COUNT(*) FROM flights WHERE distance > 300.00 and distance <= 380.00 and taxi_out > 190.00 and taxi_out < 245.00;,100
ApproachType.MODEL_BASED,12,0.02797561138868332,0.19646063089485696,100,1,SELECT COUNT(*) FROM flights WHERE year_date = 2002 and distance >= 1607.00 and distance < 2504.00;,100
ApproachType.MODEL_BASED,13,0.03994651883840561,0.5546346644858454,100,1,SELECT COUNT(*) FROM flights WHERE year_date = 2007 and air_time > 108.00 and air_time <= 474.00;,100
ApproachType.MODEL_BASED,14,0.05665161460638046,0.9189331899673747,100,1,SELECT COUNT(*) FROM flights WHERE year_date = 2014 and arr_delay > 24.00 and arr_delay <= 780.00;,100
