approach,query_no,latency,average_relative_error,bin_completeness,total_bins,query,sample_percentage
ApproachType.MODEL_BASED,0,0.056475669145584106,1.0000310189732713,100,1,SELECT COUNT(*) FROM flights WHERE dest = 'TYR' and arr_delay >= 41.00 and arr_delay < 712.00;,100
ApproachType.MODEL_BASED,1,0.12029065191745758,1.0403839649360307,100,1,SELECT COUNT(*) FROM flights WHERE air_time > 190.00 and air_time < 546.00 and arr_delay >= 543.00 and arr_delay < 918.00;,100
ApproachType.MODEL_BASED,2,0.040684133768081665,1.004623523660679,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'FLL' and dep_delay > 117.00 and dep_delay <= 428.00;,100
ApproachType.MODEL_BASED,3,0.4134574607014656,1.056806152486326,100,1,SELECT COUNT(*) FROM flights WHERE air_time >= 17.00 and air_time < 326.00 and taxi_in >= 155.00 and taxi_in < 937.00 and dep_delay >= 237.00 and dep_delay < 790.00;,100
ApproachType.MODEL_BASED,4,0.13383150845766068,1.68574841689205,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'MIA' and year_date = 2004 and air_time >= 135.00 and air_time <= 470.00;,100
ApproachType.MODEL_BASED,5,0.17221973091363907,1.0587468802800135,100,1,SELECT COUNT(*) FROM flights WHERE dep_delay >= 165.00 and dep_delay < 195.00 and taxi_in > 3.00 and taxi_in < 881.00;,100
ApproachType.MODEL_BASED,6,0.0918954610824585,1.2078351983869506,100,1,SELECT COUNT(*) FROM flights WHERE year_date = 2005 and origin = 'ACT' and dep_delay >= 22.00 and dep_delay <= 888.00;,100
ApproachType.MODEL_BASED,7,0.03655003756284714,10,-1,-1,SELECT COUNT(*) FROM flights WHERE origin = 'APF' and arr_delay > 136.00 and arr_delay <= 710.00;,100
ApproachType.MODEL_BASED,8,0.07467125356197357,12.194583648589381,100,1,SELECT COUNT(*) FROM flights WHERE dest = 'ILM' and distance > 406.00 and distance <= 631.00;,100
ApproachType.MODEL_BASED,9,0.017271921038627625,1.0506329113923842,100,1,SELECT COUNT(*) FROM flights WHERE taxi_in > 175.00 and taxi_in < 882.00;,100
ApproachType.MODEL_BASED,10,0.05318868160247803,3.7519049285994623,100,1,SELECT COUNT(*) FROM flights WHERE taxi_out > 192.00 and taxi_out < 299.00 and arr_delay > 141.00 and arr_delay < 604.00 and dep_delay > 185.00 and dep_delay <= 860.00;,100
