approach,query_no,latency,average_relative_error,bin_completeness,total_bins,query,sample_percentage
ApproachType.MODEL_BASED,0,0.046631865203380585,0.00601829539362578,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'DCA' and arr_delay > 96.00 and arr_delay <= 329.00;,100
ApproachType.MODEL_BASED,1,0.036269642412662506,10.647096888052854,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'ADK' and arr_delay >= 145.00 and arr_delay <= 298.00;,100
ApproachType.MODEL_BASED,2,0.029783673584461212,100,-1,-1,SELECT COUNT(*) FROM flights WHERE origin = 'BIS' and arr_delay >= 647.00 and arr_delay <= 747.00;,100
ApproachType.MODEL_BASED,3,0.029321253299713135,11.09150211451225,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'ROA' and arr_delay > 227.00 and arr_delay < 467.00;,100
ApproachType.MODEL_BASED,4,0.02970460057258606,1.5395092608135505e-13,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'PDX' and arr_delay > 381.00 and arr_delay < 665.00;,100
ApproachType.MODEL_BASED,5,0.2543110027909279,3.139362328408398,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'DRO' and arr_delay > -16.00 and arr_delay <= 203.00;,100
ApproachType.MODEL_BASED,6,0.03264884650707245,2.1561296809272006e-13,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'JFK' and arr_delay > 251.00 and arr_delay < 681.00;,100
ApproachType.MODEL_BASED,7,0.03831753134727478,106.26882717239803,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'KOA' and arr_delay >= 174.00 and arr_delay <= 711.00;,100
ApproachType.MODEL_BASED,8,0.21356672793626785,0.7006000352947289,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'DRO' and arr_delay >= -24.00 and arr_delay < 25.00;,100
ApproachType.MODEL_BASED,9,0.30971047282218933,0.00026451214760584893,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'BWI' and arr_delay >= -64.00 and arr_delay <= 337.00;,100
ApproachType.MODEL_BASED,10,0.04597871005535126,51.31635194226929,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'EWN' and arr_delay >= 113.00 and arr_delay < 785.00;,100
ApproachType.MODEL_BASED,11,0.2760094478726387,1.987801577353205,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'LAW' and arr_delay >= -22.00 and arr_delay < 655.00;,100
ApproachType.MODEL_BASED,12,0.028863705694675446,2.1862853408003083e-13,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'DFW' and arr_delay >= 689.00 and arr_delay < 842.00;,100
ApproachType.MODEL_BASED,13,0.30645637959241867,0.03442344721014733,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'EGE' and arr_delay >= -48.00 and arr_delay <= 355.00;,100
ApproachType.MODEL_BASED,14,0.1186743825674057,2.1745200698095566,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'BGM' and arr_delay >= -25.00 and arr_delay <= 4.00;,100
ApproachType.MODEL_BASED,15,0.28340504318475723,7.854376999933957,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'DIK' and arr_delay >= -25.00 and arr_delay <= 1130.00;,100
ApproachType.MODEL_BASED,16,0.040604300796985626,17.681617018197983,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'MBS' and arr_delay >= 95.00 and arr_delay <= 229.00;,100
ApproachType.MODEL_BASED,17,0.02643924206495285,0.0,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'CID' and arr_delay >= 305.00 and arr_delay < 312.00;,100
ApproachType.MODEL_BASED,18,0.031299009919166565,5.455953149586484e-13,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'RAP' and arr_delay >= 314.00 and arr_delay < 1312.00;,100
ApproachType.MODEL_BASED,19,0.03338645398616791,100,-1,-1,SELECT COUNT(*) FROM flights WHERE origin = 'SBP' and arr_delay > 299.00 and arr_delay < 489.00;,100
ApproachType.MODEL_BASED,20,0.17805899679660797,4.346104022489303e-14,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'AMA' and arr_delay > -5.00 and arr_delay <= 899.00;,100
ApproachType.MODEL_BASED,21,0.30886391550302505,2.1444044969269484e-08,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'MCO' and arr_delay >= -88.00 and arr_delay < 351.00;,100
ApproachType.MODEL_BASED,22,0.032785698771476746,5.490557503600774e-13,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'FSD' and arr_delay >= 203.00 and arr_delay < 511.00;,100
ApproachType.MODEL_BASED,23,0.03551305830478668,15.790564711088148,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'MGM' and arr_delay >= 47.00 and arr_delay <= 58.00;,100
ApproachType.MODEL_BASED,24,0.025757871568202972,0.0,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'LSE' and arr_delay > 514.00 and arr_delay < 1263.00;,100
ApproachType.MODEL_BASED,25,0.04284519702196121,39.24019059944313,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'GUC' and arr_delay >= 184.00 and arr_delay <= 615.00;,100
ApproachType.MODEL_BASED,26,0.03477941453456879,2.0670334131202914e-13,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'MDW' and arr_delay >= 186.00 and arr_delay < 468.00;,100
ApproachType.MODEL_BASED,27,0.029744111001491547,0.0,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'DBQ' and arr_delay >= 588.00 and arr_delay <= 1067.00;,100
ApproachType.MODEL_BASED,28,0.028195984661579132,0.0,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'EGE' and arr_delay >= 391.00 and arr_delay <= 545.00;,100
ApproachType.MODEL_BASED,29,0.26855146139860153,5.485768495237567e-14,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'JAX' and arr_delay >= -20.00 and arr_delay < 685.00;,100
ApproachType.MODEL_BASED,30,0.030057214200496674,93.53609035828241,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'SUN' and arr_delay >= 298.00 and arr_delay <= 510.00;,100
ApproachType.MODEL_BASED,31,0.29822105914354324,0.0,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'BUF' and arr_delay >= -106.00 and arr_delay < 984.00;,100
ApproachType.MODEL_BASED,32,0.037412986159324646,5.202187886815019e-13,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'ITO' and arr_delay >= 154.00 and arr_delay <= 654.00;,100
ApproachType.MODEL_BASED,33,0.029499515891075134,4.8446095620006826e-14,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'SJU' and arr_delay > 402.00 and arr_delay <= 779.00;,100
ApproachType.MODEL_BASED,34,0.1763129085302353,0.6355422481992796,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'GNV' and arr_delay > -4.00 and arr_delay <= 191.00;,100
ApproachType.MODEL_BASED,35,0.05398254096508026,0.032012020542513404,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'MSY' and arr_delay > 38.00 and arr_delay < 100.00;,100
ApproachType.MODEL_BASED,36,0.036585621535778046,17.42709722962499,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'MLU' and arr_delay >= 148.00 and arr_delay < 466.00;,100
ApproachType.MODEL_BASED,37,0.032616302371025085,8.452552990454723e-14,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'LAX' and arr_delay >= 250.00 and arr_delay < 1260.00;,100
ApproachType.MODEL_BASED,38,0.030084438621997833,2.9461528068101713e-13,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'OMA' and arr_delay > 261.00 and arr_delay <= 434.00;,100
ApproachType.MODEL_BASED,39,0.03293211758136749,5.506706202140776e-13,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'LBB' and arr_delay >= 368.00 and arr_delay < 800.00;,100
ApproachType.MODEL_BASED,40,0.028964005410671234,2.6645352591003757e-13,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'JAC' and arr_delay > 476.00 and arr_delay < 819.00;,100
ApproachType.MODEL_BASED,41,0.03544935584068298,47.08008034086793,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'CSG' and arr_delay > 153.00 and arr_delay < 693.00;,100
ApproachType.MODEL_BASED,42,0.3023369833827019,0.11845460063073265,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'BRW' and arr_delay >= -47.00 and arr_delay <= 181.00;,100
ApproachType.MODEL_BASED,43,0.05830022692680359,40.596505676801144,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'BRD' and arr_delay > 167.00 and arr_delay <= 646.00;,100
ApproachType.MODEL_BASED,44,0.03426168113946915,50.0,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'SUX' and arr_delay >= 258.00 and arr_delay <= 472.00;,100
ApproachType.MODEL_BASED,45,0.03391750901937485,1.6449863979011965e-13,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'JFK' and arr_delay > 235.00 and arr_delay <= 376.00;,100
ApproachType.MODEL_BASED,46,0.029351644217967987,0.0,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'SRQ' and arr_delay >= 388.00 and arr_delay <= 661.00;,100
ApproachType.MODEL_BASED,47,0.07337058335542679,0.25128331428885275,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'CLE' and arr_delay >= 40.00 and arr_delay < 1273.00;,100
ApproachType.MODEL_BASED,48,0.026646479964256287,249.55820930647894,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'PSC' and arr_delay > 337.00 and arr_delay < 649.00;,100
ApproachType.MODEL_BASED,49,0.025608710944652557,0.0,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'EYW' and arr_delay > 398.00 and arr_delay < 615.00;,100
ApproachType.MODEL_BASED,50,0.2805122807621956,0.028236955113466626,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'GRI' and arr_delay > -69.00 and arr_delay < 595.00;,100
ApproachType.MODEL_BASED,51,0.031399473547935486,3.4416913763379853e-13,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'ECP' and arr_delay >= 354.00 and arr_delay <= 578.00;,100
ApproachType.MODEL_BASED,52,0.06866633892059326,3.6982242928449907,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'GSP' and arr_delay >= 39.00 and arr_delay < 200.00;,100
ApproachType.MODEL_BASED,53,0.2696499153971672,0.0004526585163154822,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'DFW' and arr_delay >= -69.00 and arr_delay < 81.00;,100
ApproachType.MODEL_BASED,54,0.02773449569940567,100,-1,-1,SELECT COUNT(*) FROM flights WHERE origin = 'GUC' and arr_delay >= 1247.00 and arr_delay <= 1554.00;,100
ApproachType.MODEL_BASED,55,0.09577064216136932,21.40958943104242,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'LRD' and arr_delay >= 22.00 and arr_delay < 292.00;,100
ApproachType.MODEL_BASED,56,0.2955181673169136,0.3837245328171506,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'CMI' and arr_delay > -63.00 and arr_delay < 174.00;,100
ApproachType.MODEL_BASED,57,0.02851235866546631,5.500976018787873e-13,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'LIT' and arr_delay > 229.00 and arr_delay < 411.00;,100
ApproachType.MODEL_BASED,58,0.3039885684847832,0.0006387262742849017,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'SAN' and arr_delay > -62.00 and arr_delay <= 316.00;,100
ApproachType.MODEL_BASED,59,0.02854297310113907,0.0,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'RIC' and arr_delay > 668.00 and arr_delay < 883.00;,100
ApproachType.MODEL_BASED,60,0.04788631200790405,1.887788818255617e-13,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'HPN' and arr_delay >= 71.00 and arr_delay <= 147.00;,100
ApproachType.MODEL_BASED,61,0.031071946024894714,1.6653345369377348e-13,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'SJC' and arr_delay >= 351.00 and arr_delay < 822.00;,100
ApproachType.MODEL_BASED,62,0.03270117938518524,2.8948037382818896e-13,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'HOU' and arr_delay > 326.00 and arr_delay <= 578.00;,100
ApproachType.MODEL_BASED,63,0.0407261997461319,100,-1,-1,SELECT COUNT(*) FROM flights WHERE origin = 'UST' and arr_delay > 119.00 and arr_delay <= 435.00;,100
ApproachType.MODEL_BASED,64,0.029949888586997986,3.4416913763379853e-13,100,1,SELECT COUNT(*) FROM flights WHERE origin = 'FAR' and arr_delay > 385.00 and arr_delay <= 1240.00;,100
