approach,query_no,latency,average_relative_error,bin_completeness,total_bins,query,sample_percentage
ApproachType.MODEL_BASED,0,0.07298997789621353,71.8477327958177,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 692.00 and arr_delay = -22.00 and origin = 'ABE' and dest = 'ATL';,100
ApproachType.MODEL_BASED,1,0.07123485207557678,6.118362271720438,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 158.00 and arr_delay = 1.00 and origin = 'ABI' and dest = 'DFW';,100
ApproachType.MODEL_BASED,2,0.0700451135635376,22.42176762354634,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 277.00 and arr_delay = -13.00 and origin = 'ABQ' and dest = 'AMA';,100
ApproachType.MODEL_BASED,3,0.07118554413318634,100,-1,-1,SELECT COUNT(*) FROM flights WHERE distance >= 257.00 and arr_delay = -27.00 and origin = 'ABR' and dest = 'MSP';,100
ApproachType.MODEL_BASED,4,0.07361336797475815,100,-1,-1,SELECT COUNT(*) FROM flights WHERE distance >= 91.00 and arr_delay = -23.00 and origin = 'ACK' and dest = 'BOS';,100
ApproachType.MODEL_BASED,5,0.07930291444063187,6.24268068326006,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 159.00 and arr_delay = -24.00 and origin = 'ACT' and dest = 'IAH';,100
ApproachType.MODEL_BASED,6,0.07881642132997513,100,-1,-1,SELECT COUNT(*) FROM flights WHERE distance >= 56.00 and arr_delay = -34.00 and origin = 'ACV' and dest = 'CEC';,100
ApproachType.MODEL_BASED,7,0.08036435395479202,64.9672856950119,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 542.00 and arr_delay = -7.00 and origin = 'ACY' and dest = 'CVG';,100
ApproachType.MODEL_BASED,8,0.08496160060167313,100,-1,-1,SELECT COUNT(*) FROM flights WHERE distance >= 914.00 and arr_delay = -85.00 and origin = 'ADK' and dest = 'AKN';,100
ApproachType.MODEL_BASED,9,0.09197011590003967,30.619711112803905,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 253.00 and arr_delay = -18.00 and origin = 'ADQ' and dest = 'ANC';,100
ApproachType.MODEL_BASED,10,0.08021993190050125,100,-1,-1,SELECT COUNT(*) FROM flights WHERE distance >= 426.00 and arr_delay = 70.00 and origin = 'AEX' and dest = 'ABI';,100
ApproachType.MODEL_BASED,11,0.07815690338611603,100,-1,-1,SELECT COUNT(*) FROM flights WHERE distance >= 140.00 and arr_delay = -8.00 and origin = 'AGS' and dest = 'CLT';,100
ApproachType.MODEL_BASED,12,0.08283020555973053,100,-1,-1,SELECT COUNT(*) FROM flights WHERE distance >= 71.00 and arr_delay = -25.00 and origin = 'AKN' and dest = 'DLG';,100
ApproachType.MODEL_BASED,13,0.07566030323505402,0.0,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 251.00 and arr_delay = -9.00 and origin = 'ALB' and dest = 'BUF';,100
ApproachType.MODEL_BASED,14,0.07543574273586273,100,-1,-1,SELECT COUNT(*) FROM flights WHERE distance >= 234.00 and arr_delay = -37.00 and origin = 'ALO' and dest = 'ORD';,100
ApproachType.MODEL_BASED,15,0.07696337252855301,0.0,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 323.00 and arr_delay = -33.00 and origin = 'AMA' and dest = 'DAL';,100
ApproachType.MODEL_BASED,16,0.04602375626564026,3.3306690738754696e-13,100,1,SELECT COUNT(*) FROM flights WHERE distance <= 1192.00 and arr_delay = -42.00 and origin = 'ANC' and dest = 'ADK';,100
ApproachType.MODEL_BASED,17,0.0816340371966362,100,-1,-1,SELECT COUNT(*) FROM flights WHERE distance >= 127.00 and arr_delay = 8.00 and origin = 'ANI' and dest = 'KSM';,100
ApproachType.MODEL_BASED,18,0.07904329150915146,0.0,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 96.00 and arr_delay = -1.00 and origin = 'APF' and dest = 'MIA';,100
ApproachType.MODEL_BASED,19,0.07237003743648529,50.0,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 198.00 and arr_delay = -19.00 and origin = 'APN' and dest = 'DTW';,100
ApproachType.MODEL_BASED,20,0.07458944618701935,5.263073111060813,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 125.00 and arr_delay = -5.00 and origin = 'ASE' and dest = 'DEN';,100
ApproachType.MODEL_BASED,21,0.044580526649951935,0.0,100,1,SELECT COUNT(*) FROM flights WHERE distance <= 1269.00 and arr_delay = -26.00 and origin = 'ATL' and dest = 'ABQ';,100
ApproachType.MODEL_BASED,22,0.06918131560087204,100,-1,-1,SELECT COUNT(*) FROM flights WHERE distance >= 507.00 and arr_delay = -11.00 and origin = 'AUS' and dest = 'BKG';,100
ApproachType.MODEL_BASED,23,0.0744607150554657,59.8605737366786,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 583.00 and arr_delay = -10.00 and origin = 'AVL' and dest = 'EWR';,100
ApproachType.MODEL_BASED,24,0.069585882127285,0.10836010158575826,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 50.00 and arr_delay = -3.00 and origin = 'AVP' and dest = 'ABE';,100
ApproachType.MODEL_BASED,25,0.0731920525431633,0.0,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 62.00 and arr_delay = -58.00 and origin = 'AZO' and dest = 'LAN';,100
ApproachType.MODEL_BASED,26,0.06888648122549057,100,-1,-1,SELECT COUNT(*) FROM flights WHERE distance >= 852.00 and arr_delay = -36.00 and origin = 'BDL' and dest = 'BNA';,100
ApproachType.MODEL_BASED,27,0.07065893709659576,100,-1,-1,SELECT COUNT(*) FROM flights WHERE distance >= 391.00 and arr_delay = 48.00 and origin = 'BET' and dest = 'ADQ';,100
ApproachType.MODEL_BASED,28,0.07109678536653519,50.0,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 224.00 and arr_delay = -15.00 and origin = 'BFL' and dest = 'LAS';,100
ApproachType.MODEL_BASED,29,0.07839999347925186,21.771644701779756,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 238.00 and arr_delay = -6.00 and origin = 'BGM' and dest = 'IAD';,100
ApproachType.MODEL_BASED,30,0.0784132182598114,100,-1,-1,SELECT COUNT(*) FROM flights WHERE distance >= 382.00 and arr_delay = 11.00 and origin = 'BGR' and dest = 'JFK';,100
ApproachType.MODEL_BASED,31,0.08190590143203735,100,-1,-1,SELECT COUNT(*) FROM flights WHERE distance >= 332.00 and arr_delay = -40.00 and origin = 'BHM' and dest = 'BTR';,100
ApproachType.MODEL_BASED,32,0.07856440544128418,100,-1,-1,SELECT COUNT(*) FROM flights WHERE distance >= 126.00 and arr_delay = 15.00 and origin = 'BIL' and dest = 'BZN';,100
ApproachType.MODEL_BASED,33,0.07934200763702393,100,-1,-1,SELECT COUNT(*) FROM flights WHERE distance >= 696.00 and arr_delay = 2.00 and origin = 'BIS' and dest = 'SLC';,100
ApproachType.MODEL_BASED,34,0.07930804044008255,0.0,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 346.00 and arr_delay = 319.00 and origin = 'BKG' and dest = 'DSM';,100
ApproachType.MODEL_BASED,35,0.07693498581647873,0.0,100,1,SELECT COUNT(*) FROM flights WHERE distance <= 2715.00 and arr_delay = 25.00 and origin = 'BLI' and dest = 'HNL';,100
ApproachType.MODEL_BASED,36,0.07680929452180862,100,-1,-1,SELECT COUNT(*) FROM flights WHERE distance >= 936.00 and arr_delay = 4.00 and origin = 'BMI' and dest = 'MCO';,100
ApproachType.MODEL_BASED,37,0.08570833504199982,69.35920029560754,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 756.00 and arr_delay = 0.00 and origin = 'BNA' and dest = 'AUS';,100
ApproachType.MODEL_BASED,38,0.08214942365884781,23.69828578913721,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 287.00 and arr_delay = 5.00 and origin = 'BOI' and dest = 'GEG';,100
ApproachType.MODEL_BASED,39,0.07703770697116852,0.0,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 274.00 and arr_delay = 32.00 and origin = 'BOS' and dest = 'ACY';,100
ApproachType.MODEL_BASED,40,0.07060941308736801,100,-1,-1,SELECT COUNT(*) FROM flights WHERE distance >= 982.00 and arr_delay = 26.00 and origin = 'BQN' and dest = 'FLL';,100
