approach,query_no,latency,average_relative_error,bin_completeness,total_bins,query,sample_percentage
ApproachType.MODEL_BASED,0,0.07725747674703598,100,-1,-1,SELECT COUNT(*) FROM flights WHERE distance >= 692.00 and arr_delay = -22.00 and origin = 'ABE' and dest = 'ATL' and dep_delay = -11.00;,100
ApproachType.MODEL_BASED,1,0.07812720537185669,100,-1,-1,SELECT COUNT(*) FROM flights WHERE distance >= 158.00 and arr_delay = 1.00 and origin = 'ABI' and dest = 'DFW' and dep_delay = -25.00;,100
ApproachType.MODEL_BASED,2,0.07845864444971085,0.0,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 277.00 and arr_delay = -13.00 and origin = 'ABQ' and dest = 'AMA' and dep_delay = -6.00;,100
ApproachType.MODEL_BASED,3,0.07606419920921326,100,-1,-1,SELECT COUNT(*) FROM flights WHERE distance >= 257.00 and arr_delay = -27.00 and origin = 'ABR' and dest = 'MSP' and dep_delay = -18.00;,100
ApproachType.MODEL_BASED,4,0.07596813142299652,100,-1,-1,SELECT COUNT(*) FROM flights WHERE distance >= 91.00 and arr_delay = -23.00 and origin = 'ACK' and dest = 'BOS' and dep_delay = -13.00;,100
ApproachType.MODEL_BASED,5,0.08320093899965286,100,-1,-1,SELECT COUNT(*) FROM flights WHERE distance >= 159.00 and arr_delay = -24.00 and origin = 'ACT' and dest = 'IAH' and dep_delay = -15.00;,100
ApproachType.MODEL_BASED,6,0.07677892595529556,100,-1,-1,SELECT COUNT(*) FROM flights WHERE distance >= 56.00 and arr_delay = -34.00 and origin = 'ACV' and dest = 'CEC' and dep_delay = -33.00;,100
ApproachType.MODEL_BASED,7,0.07616735994815826,100,-1,-1,SELECT COUNT(*) FROM flights WHERE distance >= 542.00 and arr_delay = -7.00 and origin = 'ACY' and dest = 'CVG' and dep_delay = -16.00;,100
ApproachType.MODEL_BASED,8,0.07426229119300842,100,-1,-1,SELECT COUNT(*) FROM flights WHERE distance >= 914.00 and arr_delay = -85.00 and origin = 'ADK' and dest = 'AKN' and dep_delay = -87.00;,100
ApproachType.MODEL_BASED,9,0.07550689578056335,100,-1,-1,SELECT COUNT(*) FROM flights WHERE distance >= 253.00 and arr_delay = -18.00 and origin = 'ADQ' and dest = 'ANC' and dep_delay = -38.00;,100
ApproachType.MODEL_BASED,10,0.08060916513204575,100,-1,-1,SELECT COUNT(*) FROM flights WHERE distance >= 426.00 and arr_delay = 70.00 and origin = 'AEX' and dest = 'ABI' and dep_delay = 0.00;,100
ApproachType.MODEL_BASED,11,0.08748788386583328,100,-1,-1,SELECT COUNT(*) FROM flights WHERE distance >= 140.00 and arr_delay = -8.00 and origin = 'AGS' and dest = 'CLT' and dep_delay = -10.00;,100
ApproachType.MODEL_BASED,12,0.08150902390480042,100,-1,-1,SELECT COUNT(*) FROM flights WHERE distance >= 71.00 and arr_delay = -25.00 and origin = 'AKN' and dest = 'DLG' and dep_delay = -20.00;,100
ApproachType.MODEL_BASED,13,0.08053144812583923,100,-1,-1,SELECT COUNT(*) FROM flights WHERE distance >= 251.00 and arr_delay = -9.00 and origin = 'ALB' and dest = 'BUF' and dep_delay = -2.00;,100
ApproachType.MODEL_BASED,14,0.08162017911672592,100,-1,-1,SELECT COUNT(*) FROM flights WHERE distance >= 234.00 and arr_delay = -37.00 and origin = 'ALO' and dest = 'ORD' and dep_delay = -9.00;,100
ApproachType.MODEL_BASED,15,0.08219470083713531,100,-1,-1,SELECT COUNT(*) FROM flights WHERE distance >= 323.00 and arr_delay = -33.00 and origin = 'AMA' and dest = 'DAL' and dep_delay = -8.00;,100
ApproachType.MODEL_BASED,16,0.04605691879987717,100,-1,-1,SELECT COUNT(*) FROM flights WHERE distance <= 1192.00 and arr_delay = -42.00 and origin = 'ANC' and dest = 'ADK' and dep_delay = -21.00;,100
ApproachType.MODEL_BASED,17,0.07781796157360077,100,-1,-1,SELECT COUNT(*) FROM flights WHERE distance >= 127.00 and arr_delay = 8.00 and origin = 'ANI' and dest = 'KSM' and dep_delay = 7.00;,100
ApproachType.MODEL_BASED,18,0.092826247215271,0.0,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 96.00 and arr_delay = -1.00 and origin = 'APF' and dest = 'MIA' and dep_delay = 1.00;,100
ApproachType.MODEL_BASED,19,0.09187901020050049,100,-1,-1,SELECT COUNT(*) FROM flights WHERE distance >= 198.00 and arr_delay = -19.00 and origin = 'APN' and dest = 'DTW' and dep_delay = -14.00;,100
ApproachType.MODEL_BASED,20,0.09260030835866928,100,-1,-1,SELECT COUNT(*) FROM flights WHERE distance >= 125.00 and arr_delay = -5.00 and origin = 'ASE' and dest = 'DEN' and dep_delay = -22.00;,100
ApproachType.MODEL_BASED,21,0.052590951323509216,100,-1,-1,SELECT COUNT(*) FROM flights WHERE distance <= 1269.00 and arr_delay = -26.00 and origin = 'ATL' and dest = 'ABQ' and dep_delay = -7.00;,100
ApproachType.MODEL_BASED,22,0.08013869822025299,100,-1,-1,SELECT COUNT(*) FROM flights WHERE distance >= 507.00 and arr_delay = -11.00 and origin = 'AUS' and dest = 'BKG' and dep_delay = -3.00;,100
ApproachType.MODEL_BASED,23,0.08193956315517426,100,-1,-1,SELECT COUNT(*) FROM flights WHERE distance >= 583.00 and arr_delay = -10.00 and origin = 'AVL' and dest = 'EWR' and dep_delay = -12.00;,100
ApproachType.MODEL_BASED,24,0.08854418247938156,0.10836010158575826,100,1,SELECT COUNT(*) FROM flights WHERE distance >= 50.00 and arr_delay = -3.00 and origin = 'AVP' and dest = 'ABE' and dep_delay = -4.00;,100
ApproachType.MODEL_BASED,25,0.08289997279644012,100,-1,-1,SELECT COUNT(*) FROM flights WHERE distance >= 62.00 and arr_delay = -58.00 and origin = 'AZO' and dest = 'LAN' and dep_delay = -52.00;,100
ApproachType.MODEL_BASED,26,0.08950012922286987,100,-1,-1,SELECT COUNT(*) FROM flights WHERE distance >= 852.00 and arr_delay = -36.00 and origin = 'BDL' and dest = 'BNA' and dep_delay = -5.00;,100
ApproachType.MODEL_BASED,27,0.08437474071979523,100,-1,-1,SELECT COUNT(*) FROM flights WHERE distance >= 391.00 and arr_delay = 48.00 and origin = 'BET' and dest = 'ADQ' and dep_delay = 46.00;,100
ApproachType.MODEL_BASED,28,0.08131689578294754,100,-1,-1,SELECT COUNT(*) FROM flights WHERE distance >= 224.00 and arr_delay = -15.00 and origin = 'BFL' and dest = 'LAS' and dep_delay = -1.00;,100
ApproachType.MODEL_BASED,29,0.08270018547773361,100,-1,-1,SELECT COUNT(*) FROM flights WHERE distance >= 238.00 and arr_delay = -6.00 and origin = 'BGM' and dest = 'IAD' and dep_delay = 3.00;,100
ApproachType.MODEL_BASED,30,0.08176835626363754,100,-1,-1,SELECT COUNT(*) FROM flights WHERE distance >= 382.00 and arr_delay = 11.00 and origin = 'BGR' and dest = 'JFK' and dep_delay = 5.00;,100
ApproachType.MODEL_BASED,31,0.07935094833374023,100,-1,-1,SELECT COUNT(*) FROM flights WHERE distance >= 332.00 and arr_delay = -40.00 and origin = 'BHM' and dest = 'BTR' and dep_delay = -34.00;,100
ApproachType.MODEL_BASED,32,0.07903392612934113,100,-1,-1,SELECT COUNT(*) FROM flights WHERE distance >= 126.00 and arr_delay = 15.00 and origin = 'BIL' and dest = 'BZN' and dep_delay = 9.00;,100
ApproachType.MODEL_BASED,33,0.07979940623044968,100,-1,-1,SELECT COUNT(*) FROM flights WHERE distance >= 696.00 and arr_delay = 2.00 and origin = 'BIS' and dest = 'SLC' and dep_delay = 6.00;,100
ApproachType.MODEL_BASED,34,0.07519559562206268,100,-1,-1,SELECT COUNT(*) FROM flights WHERE distance >= 346.00 and arr_delay = 319.00 and origin = 'BKG' and dest = 'DSM' and dep_delay = 320.00;,100
