approach,query_no,latency,average_relative_error,bin_completeness,total_bins,query,sample_percentage
ApproachType.MODEL_BASED,0,0.05846823751926422,2.7748249088887937,100,1,"select sum(lo_revenue) - sum(lo_supplycost) from dwdate, customer, supplier, part, lineorder where lo_custkey = c_custkey and lo_suppkey = s_suppkey and lo_partkey = p_partkey and lo_orderdate = d_datekey and c_region = 'AMERICA' and s_nation = 'UNITED STATES' and d_year >= 1997 and d_year <= 1998 and p_category = 'MFGR#14' and d_year = 1997 and s_city = 'UNITED ST5' and p_brand1 = 'MFGR#141';",100
ApproachType.MODEL_BASED,1,0.03465932607650757,23.83755458491838,100,1,"select sum(lo_revenue) - sum(lo_supplycost) from dwdate, customer, supplier, part, lineorder where lo_custkey = c_custkey and lo_suppkey = s_suppkey and lo_partkey = p_partkey and lo_orderdate = d_datekey and c_region = 'AMERICA' and s_nation = 'UNITED STATES' and d_year >= 1997 and d_year <= 1998 and p_category = 'MFGR#14' and d_year = 1997 and s_city = 'UNITED ST5' and p_brand1 = 'MFGR#1419';",100
ApproachType.MODEL_BASED,2,0.03450334072113037,7.671076676357883,100,1,"select sum(lo_revenue) - sum(lo_supplycost) from dwdate, customer, supplier, part, lineorder where lo_custkey = c_custkey and lo_suppkey = s_suppkey and lo_partkey = p_partkey and lo_orderdate = d_datekey and c_region = 'AMERICA' and s_nation = 'UNITED STATES' and d_year >= 1997 and d_year <= 1998 and p_category = 'MFGR#14' and d_year = 1997 and s_city = 'UNITED ST5' and p_brand1 = 'MFGR#1426';",100
ApproachType.MODEL_BASED,3,0.03593141585588455,24.396452509193395,100,1,"select sum(lo_revenue) - sum(lo_supplycost) from dwdate, customer, supplier, part, lineorder where lo_custkey = c_custkey and lo_suppkey = s_suppkey and lo_partkey = p_partkey and lo_orderdate = d_datekey and c_region = 'AMERICA' and s_nation = 'UNITED STATES' and d_year >= 1997 and d_year <= 1998 and p_category = 'MFGR#14' and d_year = 1997 and s_city = 'UNITED ST5' and p_brand1 = 'MFGR#1439';",100
ApproachType.MODEL_BASED,4,0.03374670445919037,16.234404346226157,100,1,"select sum(lo_revenue) - sum(lo_supplycost) from dwdate, customer, supplier, part, lineorder where lo_custkey = c_custkey and lo_suppkey = s_suppkey and lo_partkey = p_partkey and lo_orderdate = d_datekey and c_region = 'AMERICA' and s_nation = 'UNITED STATES' and d_year >= 1997 and d_year <= 1998 and p_category = 'MFGR#14' and d_year = 1997 and s_city = 'UNITED ST5' and p_brand1 = 'MFGR#1428';",100
ApproachType.MODEL_BASED,5,0.03551744669675827,4.2414989530127665,100,1,"select sum(lo_revenue) - sum(lo_supplycost) from dwdate, customer, supplier, part, lineorder where lo_custkey = c_custkey and lo_suppkey = s_suppkey and lo_partkey = p_partkey and lo_orderdate = d_datekey and c_region = 'AMERICA' and s_nation = 'UNITED STATES' and d_year >= 1997 and d_year <= 1998 and p_category = 'MFGR#14' and d_year = 1997 and s_city = 'UNITED ST5' and p_brand1 = 'MFGR#1422';",100
ApproachType.MODEL_BASED,6,0.03730151802301407,2.5855379780278436,100,1,"select sum(lo_revenue) - sum(lo_supplycost) from dwdate, customer, supplier, part, lineorder where lo_custkey = c_custkey and lo_suppkey = s_suppkey and lo_partkey = p_partkey and lo_orderdate = d_datekey and c_region = 'AMERICA' and s_nation = 'UNITED STATES' and d_year >= 1997 and d_year <= 1998 and p_category = 'MFGR#14' and d_year = 1997 and s_city = 'UNITED ST5' and p_brand1 = 'MFGR#1411';",100
ApproachType.MODEL_BASED,7,0.037363141775131226,105.52759133773402,100,1,"select sum(lo_revenue) - sum(lo_supplycost) from dwdate, customer, supplier, part, lineorder where lo_custkey = c_custkey and lo_suppkey = s_suppkey and lo_partkey = p_partkey and lo_orderdate = d_datekey and c_region = 'AMERICA' and s_nation = 'UNITED STATES' and d_year >= 1997 and d_year <= 1998 and p_category = 'MFGR#14' and d_year = 1997 and s_city = 'UNITED ST5' and p_brand1 = 'MFGR#1421';",100
ApproachType.MODEL_BASED,8,0.03738563507795334,15.591956419311453,100,1,"select sum(lo_revenue) - sum(lo_supplycost) from dwdate, customer, supplier, part, lineorder where lo_custkey = c_custkey and lo_suppkey = s_suppkey and lo_partkey = p_partkey and lo_orderdate = d_datekey and c_region = 'AMERICA' and s_nation = 'UNITED STATES' and d_year >= 1997 and d_year <= 1998 and p_category = 'MFGR#14' and d_year = 1997 and s_city = 'UNITED ST5' and p_brand1 = 'MFGR#1418';",100
ApproachType.MODEL_BASED,9,0.0372772142291069,34.9126843404449,100,1,"select sum(lo_revenue) - sum(lo_supplycost) from dwdate, customer, supplier, part, lineorder where lo_custkey = c_custkey and lo_suppkey = s_suppkey and lo_partkey = p_partkey and lo_orderdate = d_datekey and c_region = 'AMERICA' and s_nation = 'UNITED STATES' and d_year >= 1997 and d_year <= 1998 and p_category = 'MFGR#14' and d_year = 1997 and s_city = 'UNITED ST5' and p_brand1 = 'MFGR#148';",100
ApproachType.MODEL_BASED,10,0.03756780922412872,31.972032315103434,100,1,"select sum(lo_revenue) - sum(lo_supplycost) from dwdate, customer, supplier, part, lineorder where lo_custkey = c_custkey and lo_suppkey = s_suppkey and lo_partkey = p_partkey and lo_orderdate = d_datekey and c_region = 'AMERICA' and s_nation = 'UNITED STATES' and d_year >= 1997 and d_year <= 1998 and p_category = 'MFGR#14' and d_year = 1997 and s_city = 'UNITED ST5' and p_brand1 = 'MFGR#1412';",100
ApproachType.MODEL_BASED,11,0.03729908913373947,15.19890658919467,100,1,"select sum(lo_revenue) - sum(lo_supplycost) from dwdate, customer, supplier, part, lineorder where lo_custkey = c_custkey and lo_suppkey = s_suppkey and lo_partkey = p_partkey and lo_orderdate = d_datekey and c_region = 'AMERICA' and s_nation = 'UNITED STATES' and d_year >= 1997 and d_year <= 1998 and p_category = 'MFGR#14' and d_year = 1997 and s_city = 'UNITED ST5' and p_brand1 = 'MFGR#1415';",100
ApproachType.MODEL_BASED,12,0.03750968724489212,9.210038334752698,100,1,"select sum(lo_revenue) - sum(lo_supplycost) from dwdate, customer, supplier, part, lineorder where lo_custkey = c_custkey and lo_suppkey = s_suppkey and lo_partkey = p_partkey and lo_orderdate = d_datekey and c_region = 'AMERICA' and s_nation = 'UNITED STATES' and d_year >= 1997 and d_year <= 1998 and p_category = 'MFGR#14' and d_year = 1997 and s_city = 'UNITED ST5' and p_brand1 = 'MFGR#1410';",100
ApproachType.MODEL_BASED,13,0.03724055737257004,25.992319703727638,100,1,"select sum(lo_revenue) - sum(lo_supplycost) from dwdate, customer, supplier, part, lineorder where lo_custkey = c_custkey and lo_suppkey = s_suppkey and lo_partkey = p_partkey and lo_orderdate = d_datekey and c_region = 'AMERICA' and s_nation = 'UNITED STATES' and d_year >= 1997 and d_year <= 1998 and p_category = 'MFGR#14' and d_year = 1997 and s_city = 'UNITED ST5' and p_brand1 = 'MFGR#1420';",100
ApproachType.MODEL_BASED,14,0.03731255233287811,9.468105001489809,100,1,"select sum(lo_revenue) - sum(lo_supplycost) from dwdate, customer, supplier, part, lineorder where lo_custkey = c_custkey and lo_suppkey = s_suppkey and lo_partkey = p_partkey and lo_orderdate = d_datekey and c_region = 'AMERICA' and s_nation = 'UNITED STATES' and d_year >= 1997 and d_year <= 1998 and p_category = 'MFGR#14' and d_year = 1997 and s_city = 'UNITED ST5' and p_brand1 = 'MFGR#146';",100
ApproachType.MODEL_BASED,15,0.03756202757358551,15.482966769610016,100,1,"select sum(lo_revenue) - sum(lo_supplycost) from dwdate, customer, supplier, part, lineorder where lo_custkey = c_custkey and lo_suppkey = s_suppkey and lo_partkey = p_partkey and lo_orderdate = d_datekey and c_region = 'AMERICA' and s_nation = 'UNITED STATES' and d_year >= 1997 and d_year <= 1998 and p_category = 'MFGR#14' and d_year = 1997 and s_city = 'UNITED ST5' and p_brand1 = 'MFGR#1427';",100
