approach,query_no,latency,average_relative_error,bin_completeness,total_bins,query,sample_percentage
ApproachType.MODEL_BASED,0,0.021828681230545044,1.3322676295501878e-13,100,1,select count(*) from s10c10 WHERE col0 >= 118 and col1 = 684;,100
ApproachType.MODEL_BASED,1,0.02040858566761017,1.2250736823450004e-13,100,1,select count(*) from s10c10 WHERE col0 >= 357 and col1 = 413;,100
ApproachType.MODEL_BASED,2,0.02110791951417923,1.3322676295501878e-13,100,1,select count(*) from s10c10 WHERE col0 >= 205 and col1 = 685;,100
ApproachType.MODEL_BASED,3,0.018902577459812164,1.3322676295501878e-13,100,1,select count(*) from s10c10 WHERE col0 >= 741 and col1 = 991;,100
ApproachType.MODEL_BASED,4,0.026616685092449188,1.3322676295501878e-13,100,1,select count(*) from s10c10 WHERE col0 >= 68 and col1 = 986;,100
ApproachType.MODEL_BASED,5,0.01970618963241577,1.3322676295501878e-13,100,1,select count(*) from s10c10 WHERE col0 >= 484 and col1 = 833;,100
ApproachType.MODEL_BASED,6,0.020779266953468323,1.3322676295501878e-13,100,1,select count(*) from s10c10 WHERE col0 >= 181 and col1 = 590;,100
ApproachType.MODEL_BASED,7,0.02802117168903351,1.66208827078386e-14,100,1,select count(*) from s10c10 WHERE col0 >= 81 and col1 = 296;,100
ApproachType.MODEL_BASED,8,0.03269197791814804,1.1842378929335001e-13,100,1,select count(*) from s10c10 WHERE col0 >= 9 and col1 = 452;,100
ApproachType.MODEL_BASED,9,0.021694310009479523,1.3322676295501878e-13,100,1,select count(*) from s10c10 WHERE col0 >= 396 and col1 = 683;,100
ApproachType.MODEL_BASED,10,0.026236191391944885,1.3322676295501878e-13,100,1,select count(*) from s10c10 WHERE col0 >= 61 and col1 = 904;,100
ApproachType.MODEL_BASED,11,0.025053732097148895,0.0,100,1,select count(*) from s10c10 WHERE col0 >= 152 and col1 = 220;,100
ApproachType.MODEL_BASED,12,0.022344417870044708,1.3322676295501878e-13,100,1,select count(*) from s10c10 WHERE col0 >= 307 and col1 = 717;,100
ApproachType.MODEL_BASED,13,0.026113592088222504,1.3322676295501878e-13,100,1,select count(*) from s10c10 WHERE col0 >= 79 and col1 = 877;,100
ApproachType.MODEL_BASED,14,0.020364083349704742,1.3322676295501878e-13,100,1,select count(*) from s10c10 WHERE col0 >= 536 and col1 = 985;,100
ApproachType.MODEL_BASED,15,0.02331513911485672,1.3322676295501878e-13,100,1,select count(*) from s10c10 WHERE col0 >= 283 and col1 = 711;,100
ApproachType.MODEL_BASED,16,0.027707539498806,0.0,100,1,select count(*) from s10c10 WHERE col0 >= 73 and col1 = 338;,100
ApproachType.MODEL_BASED,17,0.031200654804706573,1.1515506479778782e-14,100,1,select count(*) from s10c10 WHERE col0 >= 77 and col1 = 90;,100
ApproachType.MODEL_BASED,18,0.02705182135105133,1.3322676295501878e-13,100,1,select count(*) from s10c10 WHERE col0 >= 197 and col1 = 798;,100
ApproachType.MODEL_BASED,19,0.030018799006938934,4.041001340815736e-14,100,1,select count(*) from s10c10 WHERE col0 >= 18 and col1 = 285;,100
ApproachType.MODEL_BASED,20,0.03281140327453613,5.413658939124573e-14,100,1,select count(*) from s10c10 WHERE col0 >= 74 and col1 = 287;,100
ApproachType.MODEL_BASED,21,0.024521440267562866,1.4802973661668752e-14,100,1,select count(*) from s10c10 WHERE col0 >= 196 and col1 = 380;,100
ApproachType.MODEL_BASED,22,0.03057865798473358,0.0,100,1,select count(*) from s10c10 WHERE col0 >= 1 and col1 = 66;,100
ApproachType.MODEL_BASED,23,0.028403542935848236,1.971590508937629e-14,100,1,select count(*) from s10c10 WHERE col0 >= 27 and col1 = 31;,100
ApproachType.MODEL_BASED,24,0.023954525589942932,2.2032332891786054e-14,100,1,select count(*) from s10c10 WHERE col0 >= 243 and col1 = 324;,100
ApproachType.MODEL_BASED,25,0.023966655135154724,1.3322676295501878e-13,100,1,select count(*) from s10c10 WHERE col0 >= 106 and col1 = 946;,100
ApproachType.MODEL_BASED,26,0.0266786590218544,1.4802973661668752e-14,100,1,select count(*) from s10c10 WHERE col0 >= 120 and col1 = 380;,100
ApproachType.MODEL_BASED,27,0.026644118130207062,1.3322676295501878e-13,100,1,select count(*) from s10c10 WHERE col0 >= 67 and col1 = 808;,100
ApproachType.MODEL_BASED,28,0.023829028010368347,1.3322676295501878e-13,100,1,select count(*) from s10c10 WHERE col0 >= 244 and col1 = 563;,100
ApproachType.MODEL_BASED,29,0.0207979679107666,1.3322676295501878e-13,100,1,select count(*) from s10c10 WHERE col0 >= 392 and col1 = 773;,100
ApproachType.MODEL_BASED,30,0.025577694177627563,1.3322676295501878e-13,100,1,select count(*) from s10c10 WHERE col0 >= 380 and col1 = 515;,100
ApproachType.MODEL_BASED,31,0.027636639773845673,0.0,100,1,select count(*) from s10c10 WHERE col0 >= 196 and col1 = 258;,100
ApproachType.MODEL_BASED,32,0.02363688498735428,1.3322676295501878e-13,100,1,select count(*) from s10c10 WHERE col0 >= 228 and col1 = 893;,100
ApproachType.MODEL_BASED,33,0.02973216027021408,1.2918958832001821e-14,100,1,select count(*) from s10c10 WHERE col0 >= 0 and col1 = 382;,100
ApproachType.MODEL_BASED,34,0.02871892601251602,4.0894545943027353e-14,100,1,select count(*) from s10c10 WHERE col0 >= 219 and col1 = 274;,100
ApproachType.MODEL_BASED,35,0.030712343752384186,3.927006484339068e-14,100,1,select count(*) from s10c10 WHERE col0 >= 129 and col1 = 145;,100
ApproachType.MODEL_BASED,36,0.023457936942577362,1.3322676295501878e-13,100,1,select count(*) from s10c10 WHERE col0 >= 387 and col1 = 967;,100
ApproachType.MODEL_BASED,37,0.028349243104457855,1.0931426704001542e-13,100,1,select count(*) from s10c10 WHERE col0 >= 112 and col1 = 504;,100
ApproachType.MODEL_BASED,38,0.0333365723490715,4.2552777687442055e-14,100,1,select count(*) from s10c10 WHERE col0 >= 59 and col1 = 103;,100
ApproachType.MODEL_BASED,39,0.031959645450115204,1.3322676295501878e-13,100,1,select count(*) from s10c10 WHERE col0 >= 50 and col1 = 722;,100
ApproachType.MODEL_BASED,40,0.024698220193386078,2.1862853408003084e-14,100,1,select count(*) from s10c10 WHERE col0 >= 306 and col1 = 325;,100
ApproachType.MODEL_BASED,41,0.03172949701547623,1.1419436824715897e-13,100,1,select count(*) from s10c10 WHERE col0 >= 82 and col1 = 531;,100
ApproachType.MODEL_BASED,42,0.03261479735374451,1.3322676295501878e-13,100,1,select count(*) from s10c10 WHERE col0 >= 33 and col1 = 568;,100
ApproachType.MODEL_BASED,43,0.025844253599643707,1.3322676295501878e-13,100,1,select count(*) from s10c10 WHERE col0 >= 166 and col1 = 772;,100
ApproachType.MODEL_BASED,44,0.030567742884159088,0.0,100,1,select count(*) from s10c10 WHERE col0 >= 137 and col1 = 254;,100
ApproachType.MODEL_BASED,45,0.03264506161212921,1.1842378929335001e-13,100,1,select count(*) from s10c10 WHERE col0 >= 47 and col1 = 446;,100
ApproachType.MODEL_BASED,46,0.028799481689929962,1.3322676295501878e-13,100,1,select count(*) from s10c10 WHERE col0 >= 138 and col1 = 762;,100
ApproachType.MODEL_BASED,47,0.02875135838985443,1.3322676295501878e-13,100,1,select count(*) from s10c10 WHERE col0 >= 137 and col1 = 684;,100
ApproachType.MODEL_BASED,48,0.04259232431650162,5.413658939124573e-14,100,1,select count(*) from s10c10 WHERE col0 >= 251 and col1 = 287;,100
ApproachType.MODEL_BASED,49,0.0576077401638031,1.3322676295501878e-13,100,1,select count(*) from s10c10 WHERE col0 >= 100 and col1 = 526;,100
ApproachType.MODEL_BASED,50,0.021246381103992462,1.3322676295501878e-13,100,1,select count(*) from s10c10 WHERE col0 = 778 and col0 = 778;,100
ApproachType.MODEL_BASED,51,0.01685679703950882,1.3322676295501878e-13,100,1,select count(*) from s10c10 WHERE col0 = 949 and col0 = 949;,100
ApproachType.MODEL_BASED,52,0.014246419072151184,1.3322676295501878e-13,100,1,select count(*) from s10c10 WHERE col0 = 831 and col0 = 831;,100
ApproachType.MODEL_BASED,53,0.014914430677890778,1.3322676295501878e-13,100,1,select count(*) from s10c10 WHERE col0 = 606 and col0 = 606;,100
ApproachType.MODEL_BASED,54,0.020973429083824158,1.3322676295501878e-13,100,1,select count(*) from s10c10 WHERE col0 = 934 and col0 = 934;,100
ApproachType.MODEL_BASED,55,0.030419625341892242,9.561550691473173e-14,100,1,select count(*) from s10c10 WHERE col0 = 76 and col0 = 76;,100
ApproachType.MODEL_BASED,56,0.023170195519924164,1.3322676295501878e-13,100,1,select count(*) from s10c10 WHERE col0 = 783 and col0 = 783;,100
ApproachType.MODEL_BASED,57,0.024316787719726562,2.6134905223360006e-14,100,1,select count(*) from s10c10 WHERE col0 = 243 and col0 = 243;,100
ApproachType.MODEL_BASED,58,0.023427322506904602,1.3322676295501878e-13,100,1,select count(*) from s10c10 WHERE col0 = 756 and col0 = 756;,100
ApproachType.MODEL_BASED,59,0.024362727999687195,1.3322676295501878e-13,100,1,select count(*) from s10c10 WHERE col0 = 558 and col0 = 558;,100
ApproachType.MODEL_BASED,60,0.022166632115840912,1.3322676295501878e-13,100,1,select count(*) from s10c10 WHERE col0 = 571 and col0 = 571;,100
ApproachType.MODEL_BASED,61,0.023473598062992096,1.2406301735493812e-13,100,1,select count(*) from s10c10 WHERE col0 = 388 and col0 = 388;,100
ApproachType.MODEL_BASED,62,0.029262177646160126,0.0,100,1,select count(*) from s10c10 WHERE col0 = 21 and col0 = 21;,100
